ticker,sector,signal,final_score,momentum,value,quality,sentiment,current_price,stop_loss,stop_loss_pct,take_profit,take_profit_pct,risk_reward,atr,reason
TSM,semiconductor,HOLD,0.4667,0.6163,0.2959,0.9545,0.0,360.59,331.74,-8.0,409.4,13.54,1.6920186442403207,16.27,クオリティ強気(+0.95) / モメンタム強気(+0.62) / バリュー強気(+0.30)
BIIB,biotech,HOLD,0.424,0.5757,0.7264,0.394,0.0,192.08,179.25,-6.68,211.33,10.02,1.5000000000000022,6.4168,バリュー強気(+0.73) / モメンタム強気(+0.58) / クオリティ強気(+0.39)
NEM,mining,HOLD,0.3891,0.6566,-0.0366,0.9365,0.0,125.47,115.43,-8.0,145.84,16.23,2.029367218306921,6.79,クオリティ強気(+0.94) / モメンタム強気(+0.66)
REGN,biotech,HOLD,0.3662,0.3905,0.4183,0.6561,0.0,782.38,731.14,-6.55,859.23,9.82,1.500000000000001,25.6179,クオリティ強気(+0.66) / バリュー強気(+0.42) / モメンタム強気(+0.39)
MU,semiconductor,HOLD,0.3655,0.6849,-0.1452,0.9224,0.0,417.35,383.96,-8.0,500.82,20.0,2.5,30.2529,クオリティ強気(+0.92) / モメンタム強気(+0.68) / バリュー弱気(-0.15)
HII,aerospace,HOLD,0.363,0.7628,0.2322,0.4568,0.0,442.93,407.5,-8.0,502.13,13.37,1.6708338865785215,19.735,モメンタム強気(+0.76) / クオリティ強気(+0.46) / バリュー強気(+0.23)
ON,semiconductor,HOLD,0.3423,0.5523,0.5477,0.2692,0.0,68.09,62.64,-8.0,77.67,14.06,1.7580464141347567,3.1921,モメンタム強気(+0.55) / バリュー強気(+0.55) / クオリティ強気(+0.27)
RCAT,aerospace,HOLD,0.3338,0.4624,0.1447,0.7279,0.0,12.83,11.8,-8.0,15.4,20.0,2.499999999999999,1.5214,クオリティ強気(+0.73) / モメンタム強気(+0.46) / バリュー強気(+0.14)
NE,energy,HOLD,0.3038,0.7531,0.3633,0.0985,0.0,45.33,41.7,-8.0,51.86,14.41,1.8016682907170698,2.1779,モメンタム強気(+0.75) / バリュー強気(+0.36)
RIG,energy,HOLD,0.3023,0.824,0.4525,-0.0673,0.0,6.34,5.83,-8.0,7.55,19.06,2.382830594266729,0.4029,モメンタム強気(+0.82) / バリュー強気(+0.45)
ABBV,biotech,HOLD,0.3022,0.2312,0.6027,0.375,0.0,224.34,210.28,-6.27,245.42,9.4,1.500000000000001,7.0279,バリュー強気(+0.60) / クオリティ強気(+0.38) / モメンタム強気(+0.23)
VAL,energy,HOLD,0.3009,0.837,-0.0617,0.4283,0.0,92.4,85.01,-8.0,110.88,20.0,2.499999999999999,6.4189,モメンタム強気(+0.84) / クオリティ強気(+0.43)
EOG,energy,HOLD,0.3,0.4141,0.2921,0.4937,0.0,123.84,116.83,-5.66,134.36,8.49,1.5,3.5057,クオリティ強気(+0.49) / モメンタム強気(+0.41) / バリュー強気(+0.29)
XLE,etf,HOLD,0.2985,0.5471,0.6471,0.0,0.0,55.18,52.73,-4.44,58.86,6.66,1.5,1.225,バリュー強気(+0.65) / モメンタム強気(+0.55)
BNTX,biotech,HOLD,0.2978,0.0641,0.4107,0.7163,0.0,110.42,103.77,-6.02,120.39,9.03,1.499999999999999,3.3246,クオリティ強気(+0.72) / バリュー強気(+0.41)
HAL,energy,HOLD,0.2915,0.6108,0.1206,0.4348,0.0,35.37,33.06,-6.51,38.82,9.76,1.4999999999999984,1.1504,モメンタム強気(+0.61) / クオリティ強気(+0.43) / バリュー強気(+0.12)
AMAT,semiconductor,HOLD,0.2883,0.8405,-0.3354,0.6483,0.0,369.83,340.24,-8.0,428.41,15.84,1.9800842148961662,19.5279,モメンタム強気(+0.84) / クオリティ強気(+0.65) / バリュー弱気(-0.34)
DVN,energy,HOLD,0.2861,0.5376,0.4739,0.1329,0.0,44.67,41.62,-6.84,49.26,10.26,1.499999999999999,1.5282,モメンタム強気(+0.54) / バリュー強気(+0.47) / クオリティ強気(+0.13)
LHX,aerospace,HOLD,0.2842,0.6891,0.1913,0.2564,0.0,358.79,339.09,-5.49,388.35,8.24,1.4999999999999987,9.8521,モメンタム強気(+0.69) / クオリティ強気(+0.26) / バリュー強気(+0.19)
LRCX,semiconductor,HOLD,0.2811,0.6683,-0.4336,0.8895,0.0,237.39,218.4,-8.0,277.58,16.93,2.1164311134581926,13.3979,クオリティ強気(+0.89) / モメンタム強気(+0.67) / バリュー弱気(-0.43)
PAAS,mining,HOLD,0.279,0.6373,-0.342,0.8208,0.0,61.14,56.25,-8.0,73.37,20.0,2.500000000000003,4.1358,クオリティ強気(+0.82) / モメンタム強気(+0.64) / バリュー弱気(-0.34)
COP,energy,HOLD,0.2759,0.4892,0.3426,0.2719,0.0,111.56,105.23,-5.68,121.06,8.52,1.5000000000000022,3.1671,モメンタム強気(+0.49) / バリュー強気(+0.34) / クオリティ強気(+0.27)
IBB,etf,HOLD,0.2611,0.4052,0.6391,0.0,0.0,175.03,168.0,-4.02,185.58,6.03,1.500000000000002,3.5171,バリュー強気(+0.64) / モメンタム強気(+0.41)
GD,aerospace,HOLD,0.261,0.3164,0.188,0.5396,0.0,354.33,336.78,-4.95,380.65,7.43,1.4999999999999984,8.7736,クオリティ強気(+0.54) / モメンタム強気(+0.32) / バリュー強気(+0.19)
AVGO,semiconductor,HOLD,0.2607,0.2438,0.3327,0.4662,0.0,333.99,307.27,-8.0,382.91,14.65,1.8307226174716598,16.3051,クオリティ強気(+0.47) / バリュー強気(+0.33) / モメンタム強気(+0.24)
HWM,aerospace,HOLD,0.2598,0.8629,-0.6062,0.7824,0.0,251.29,233.67,-7.02,277.74,10.52,1.5000000000000016,8.8144,モメンタム強気(+0.86) / クオリティ強気(+0.78) / バリュー弱気(-0.61)
TDG,aerospace,HOLD,0.257,0.057,0.2973,0.6738,0.0,1329.85,1243.28,-6.51,1459.7,9.76,1.5000000000000013,43.2846,クオリティ強気(+0.67) / バリュー強気(+0.30)
NOC,aerospace,HOLD,0.2552,0.7698,-0.1261,0.3771,0.0,736.74,699.05,-5.12,793.27,7.67,1.499999999999997,18.8428,モメンタム強気(+0.77) / クオリティ強気(+0.38) / バリュー弱気(-0.13)
GILD,biotech,HOLD,0.2522,0.5618,-0.0106,0.4577,0.0,151.12,142.48,-5.72,164.08,8.57,1.5000000000000033,4.3189,モメンタム強気(+0.56) / クオリティ強気(+0.46)
OXY,energy,HOLD,0.2502,0.5446,0.4148,0.0415,0.0,51.52,47.94,-6.95,56.89,10.43,1.499999999999998,1.7904,モメンタム強気(+0.54) / バリュー強気(+0.41)
RTX,aerospace,HOLD,0.2428,0.6485,-0.0456,0.3685,0.0,205.2,194.95,-4.99,220.57,7.49,1.5000000000000027,5.1236,モメンタム強気(+0.65) / クオリティ強気(+0.37)
AG,mining,HOLD,0.2395,0.734,-0.5485,0.7724,0.0,24.79,22.8,-8.0,29.74,20.0,2.5,2.0404,クオリティ強気(+0.77) / モメンタム強気(+0.73) / バリュー弱気(-0.55)
IWM,etf,HOLD,0.2298,0.3224,0.5967,0.0,0.0,264.63,252.51,-4.58,282.8,6.87,1.500000000000001,6.0581,バリュー強気(+0.60) / モメンタム強気(+0.32)
VRTX,biotech,HOLD,0.2269,0.2058,-0.1151,0.8169,0.0,469.27,439.59,-6.32,513.79,9.49,1.500000000000002,14.8386,クオリティ強気(+0.82) / モメンタム強気(+0.21) / バリュー弱気(-0.12)
BMY,biotech,HOLD,0.2228,0.5027,0.3084,0.08,0.0,60.28,57.21,-5.1,64.89,7.64,1.5,1.5361,モメンタム強気(+0.50) / バリュー強気(+0.31)
VRT,datacenter,HOLD,0.2214,0.768,-0.5643,0.682,0.0,243.19,223.73,-8.0,291.83,20.0,2.5,16.3423,モメンタム強気(+0.77) / クオリティ強気(+0.68) / バリュー弱気(-0.56)
MRVL,semiconductor,HOLD,0.2177,-0.1374,0.1626,0.8454,0.0,79.61,73.24,-8.0,90.81,14.07,1.758685327749077,3.7336,クオリティ強気(+0.85) / バリュー強気(+0.16) / モメンタム弱気(-0.14)
MRNA,biotech,HOLD,0.2132,0.7436,0.1456,-0.0365,0.0,49.7,45.72,-8.0,59.64,20.0,2.5000000000000018,3.4389,モメンタム強気(+0.74) / バリュー強気(+0.15)
ASML,semiconductor,HOLD,0.2112,0.7057,-0.4532,0.5922,0.0,1458.93,1357.11,-6.98,1611.66,10.47,1.5,50.9116,モメンタム強気(+0.71) / クオリティ強気(+0.59) / バリュー弱気(-0.45)
DLR,datacenter,HOLD,0.2104,0.3583,0.0941,0.3893,0.0,176.9,167.36,-5.39,191.19,8.08,1.5,4.7664,クオリティ強気(+0.39) / モメンタム強気(+0.36)
FANG,energy,HOLD,0.2102,0.5431,-0.1278,0.4256,0.0,174.72,164.25,-5.99,190.43,8.99,1.4999999999999987,5.2364,モメンタム強気(+0.54) / クオリティ強気(+0.43) / バリュー弱気(-0.13)
NVDA,semiconductor,HOLD,0.2097,0.3182,-0.4565,0.9772,0.0,187.9,173.82,-7.5,209.03,11.24,1.500000000000001,7.0421,クオリティ強気(+0.98) / バリュー弱気(-0.46) / モメンタム強気(+0.32)
SLB,energy,HOLD,0.2026,0.5269,-0.1344,0.4181,0.0,51.53,48.29,-6.29,56.39,9.44,1.4999999999999978,1.6208,モメンタム強気(+0.53) / クオリティ強気(+0.42) / バリュー弱気(-0.13)
XLV,etf,HOLD,0.2017,0.2186,0.588,0.0,0.0,157.27,153.01,-2.71,163.67,4.07,1.4999999999999967,2.1325,バリュー強気(+0.59) / モメンタム強気(+0.22)
XOM,energy,HOLD,0.1976,0.5707,-0.1222,0.342,0.0,150.93,142.89,-5.33,163.0,7.99,1.5000000000000018,4.0222,モメンタム強気(+0.57) / クオリティ強気(+0.34) / バリュー弱気(-0.12)
GOLD,mining,HOLD,0.1972,0.5785,-0.0393,0.2496,0.0,58.71,54.01,-8.0,70.45,20.0,2.500000000000001,4.9819,モメンタム強気(+0.58) / クオリティ強気(+0.25)
WPM,mining,HOLD,0.1946,0.5269,-0.6287,0.8802,0.0,145.29,133.67,-8.0,169.27,16.5,2.0629919436116593,7.9929,クオリティ強気(+0.88) / バリュー弱気(-0.63) / モメンタム強気(+0.53)
XLK,etf,HOLD,0.1908,0.0762,0.6871,0.0,0.0,140.19,132.66,-5.37,151.49,8.06,1.5,3.7654,バリュー強気(+0.69)
KLAC,semiconductor,HOLD,0.1864,0.5265,-0.3414,0.5606,0.0,1469.9,1352.31,-8.0,1704.95,15.99,1.9988965143138597,78.3514,クオリティ強気(+0.56) / モメンタム強気(+0.53) / バリュー弱気(-0.34)
AMGN,biotech,HOLD,0.1809,0.5858,-0.0047,0.1425,0.0,375.5,353.91,-5.75,407.89,8.63,1.5000000000000027,10.7974,モメンタム強気(+0.59) / クオリティ強気(+0.14)
FCX,mining,HOLD,0.179,0.4618,-0.2814,0.5355,0.0,62.57,57.56,-8.0,72.43,15.76,1.9696512346445147,3.2864,クオリティ強気(+0.54) / モメンタム強気(+0.46) / バリュー弱気(-0.28)
DIA,etf,HOLD,0.176,0.1643,0.5399,0.0,0.0,494.42,481.26,-2.66,514.16,3.99,1.5000000000000064,6.58,バリュー強気(+0.54) / モメンタム強気(+0.16)
INTC,semiconductor,HOLD,0.1718,0.1922,0.1393,0.3558,0.0,44.62,41.05,-8.0,53.45,19.8,2.4744672885793406,2.9443,クオリティ強気(+0.36) / モメンタム強気(+0.19) / バリュー強気(+0.14)
LMT,aerospace,HOLD,0.1715,0.7733,-0.2228,0.1355,0.0,666.6,627.98,-5.79,724.53,8.69,1.4999999999999971,19.3107,モメンタム強気(+0.77) / バリュー弱気(-0.22) / クオリティ強気(+0.14)
XAR,etf,HOLD,0.165,0.6601,0.0,0.0,0.0,284.56,268.2,-5.75,309.1,8.62,1.4999999999999964,8.1796,モメンタム強気(+0.66)
QCOM,semiconductor,HOLD,0.1612,-0.3824,0.4106,0.6168,0.0,141.27,131.11,-7.19,156.51,10.79,1.4999999999999971,5.0807,クオリティ強気(+0.62) / バリュー強気(+0.41) / モメンタム弱気(-0.38)
BA,aerospace,HOLD,0.1543,0.2561,0.064,0.297,0.0,233.71,219.26,-6.18,255.39,9.28,1.4999999999999991,7.2264,クオリティ強気(+0.30) / モメンタム強気(+0.26)
CRDO,semiconductor,HOLD,0.1494,0.2728,-0.6508,0.9755,0.0,130.66,120.21,-8.0,156.79,20.0,2.499999999999999,11.9374,クオリティ強気(+0.98) / バリュー弱気(-0.65) / モメンタム強気(+0.27)
SPY,etf,HOLD,0.1463,0.117,0.4684,0.0,0.0,684.53,666.44,-2.64,711.67,3.96,1.500000000000003,9.0459,バリュー強気(+0.47) / モメンタム強気(+0.12)
SMH,etf,HOLD,0.1432,0.5728,0.0,0.0,0.0,410.2,381.99,-6.88,452.52,10.32,1.499999999999999,14.1071,モメンタム強気(+0.57)
GDX,etf,HOLD,0.1353,0.5413,0.0,0.0,0.0,104.26,95.92,-8.0,121.86,16.88,2.1095100476150863,5.865,モメンタム強気(+0.54)
QQQ,etf,HOLD,0.122,0.0501,0.4378,0.0,0.0,603.47,580.81,-3.76,637.47,5.63,1.5,11.3318,バリュー強気(+0.44)
HL,mining,HOLD,0.1215,0.2245,-0.6008,0.8623,0.0,22.79,20.97,-8.0,27.35,20.0,2.499999999999999,2.1321,クオリティ強気(+0.86) / バリュー弱気(-0.60) / モメンタム強気(+0.22)
AMD,semiconductor,HOLD,0.1208,-0.0977,-0.2239,0.8049,0.0,203.37,187.1,-8.0,244.04,20.0,2.5000000000000027,14.0997,クオリティ強気(+0.80) / バリュー弱気(-0.22)
XLF,etf,HOLD,0.1051,-0.0687,0.4891,0.0,0.0,52.14,50.33,-3.47,54.86,5.21,1.499999999999998,0.9057,バリュー強気(+0.49)
EQIX,datacenter,HOLD,0.1048,0.5407,-0.2483,0.1267,0.0,918.03,858.68,-6.47,1007.06,9.7,1.4999999999999991,29.6771,モメンタム強気(+0.54) / バリュー弱気(-0.25) / クオリティ強気(+0.13)
CVX,energy,HOLD,0.0623,0.5094,-0.2038,-0.0565,0.0,184.91,177.02,-4.26,196.74,6.4,1.4999999999999982,3.9425,モメンタム強気(+0.51) / バリュー弱気(-0.20)
LLY,biotech,HOLD,0.0578,0.2349,-0.4853,0.4815,0.0,1023.26,941.4,-8.0,1156.66,13.04,1.629599551960874,44.4668,バリュー弱気(-0.49) / クオリティ強気(+0.48) / モメンタム強気(+0.23)
AMT,datacenter,HOLD,0.027,0.1269,-0.0128,-0.0063,0.0,184.88,173.76,-6.01,201.54,9.01,1.5000000000000027,5.5554,モメンタム強気(+0.13)
PXD,energy,HOLD,0.0,0.0,0.0,0.0,0.0,,,,,,,,中立シグナル
SLV,mining,HOLD,-0.1349,0.1236,-0.6631,0.0,0.0,71.01,65.33,-8.0,85.21,20.0,2.5000000000000013,8.12,バリュー弱気(-0.66) / モメンタム強気(+0.12)
