ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
RVTY,HOLD,0.5919,2021-01-07,2021-01-08,158.6338,2021-01-12,150.8803,sl_hit,-4.89,150.8803,0.0
SCHW,HOLD,0.6241,2021-01-07,2021-01-08,54.9378,2021-01-14,55.3953,pre_earnings,0.83,52.5636,0.0
RRX,BUY,0.6961,2021-01-11,2021-01-12,128.8889,2021-01-15,121.1556,sl_hit,-6.0,121.1556,0.0
SCCO,BUY,0.7081,2021-01-07,2021-01-08,54.527,2021-01-19,54.3813,pre_earnings,-0.27,51.8786,0.0
TAP,HOLD,0.5814,2021-01-12,2021-01-13,44.7803,2021-01-20,44.7803,trailing_stop,0.0,42.5335,0.0
SYF,BUY,0.6549,2021-01-07,2021-01-08,32.7335,2021-01-21,34.3373,trailing_stop,4.9,30.9811,0.0
QXO,BUY,0.7142,2021-01-20,2021-01-21,25.6886,2021-01-21,24.1473,sl_hit,-6.0,24.1473,0.0
RJF,BUY,0.673,2021-01-12,2021-01-13,63.9598,2021-01-22,63.3883,pre_earnings,-0.89,60.8992,0.0
STRL,HOLD,0.6079,2021-01-19,2021-01-20,24.25,2021-01-22,22.795,sl_hit,-6.0,22.795,0.0
ROKU,HOLD,0.5956,2021-01-08,2021-01-11,390.3,2021-01-26,420.5157,trailing_stop,7.74,366.882,0.0
RMBS,HOLD,0.6419,2021-01-12,2021-01-13,20.17,2021-01-26,20.254,trailing_stop,0.42,19.0786,0.0
SMTC,HOLD,0.6243,2021-01-21,2021-01-22,81.2,2021-01-26,81.2,trailing_stop,0.0,76.328,0.0
QXO,BUY,0.7572,2021-01-22,2021-01-25,27.5019,2021-01-26,34.7055,trailing_stop,26.19,25.8518,0.0
SLAB,BUY,0.7029,2021-01-07,2021-01-08,136.54,2021-01-27,137.446,trailing_stop,0.66,129.4557,0.0
RVMD,BUY,0.6623,2021-02-05,2021-02-08,53.58,2021-02-11,50.3652,sl_hit,-6.0,50.3652,0.0
PYPL,BUY,0.7227,2021-02-11,2021-02-12,291.9651,2021-02-18,291.9651,trailing_stop,0.0,274.4472,0.0
LYV,HOLD,0.596,2021-02-12,2021-02-16,85.01,2021-02-22,88.85,pre_earnings,4.52,79.9094,0.0
QXO,BUY,0.7414,2021-02-19,2021-02-22,42.8547,2021-02-23,40.2834,sl_hit,-6.0,40.2834,0.0
SCCO,HOLD,0.593,2021-02-19,2021-02-22,63.4217,2021-02-23,59.8109,sl_hit,-5.69,59.8109,0.0
RYN,BUY,0.6589,2021-02-16,2021-02-17,25.7893,2021-02-25,24.5588,sl_hit,-4.77,24.5588,0.0
RF,BUY,0.652,2021-02-22,2021-02-23,17.114,2021-02-25,17.5801,trailing_stop,2.72,16.1412,0.0
RCL,HOLD,0.611,2021-02-23,2021-02-24,90.087,2021-02-25,91.8973,trailing_stop,2.01,84.6817,0.0
SLB,BUY,0.6767,2021-02-24,2021-02-25,26.3778,2021-02-26,24.7951,sl_hit,-6.0,24.7951,0.0
QXO,BUY,0.7181,2021-02-25,2021-02-26,43.8218,2021-02-26,41.1925,sl_hit,-6.0,41.1925,0.0
SLAB,BUY,0.6779,2021-02-19,2021-02-22,160.77,2021-03-03,151.1238,sl_hit,-6.0,151.1238,0.0
SGI,BUY,0.6763,2021-02-16,2021-02-17,29.7348,2021-03-04,32.9594,trailing_stop,10.84,27.9507,0.0
SF,BUY,0.7366,2021-02-26,2021-03-01,38.2734,2021-03-04,38.2734,trailing_stop,0.0,36.1694,0.0
SAIA,BUY,0.6646,2021-03-03,2021-03-04,218.63,2021-03-04,205.5122,sl_hit,-6.0,205.5122,0.0
STLD,BUY,0.7349,2021-03-05,2021-03-08,42.2581,2021-03-16,43.4978,trailing_stop,2.93,39.7226,0.0
RF,BUY,0.7005,2021-03-08,2021-03-09,17.3568,2021-03-16,17.3568,trailing_stop,0.0,16.3154,0.0
RRX,BUY,0.6956,2021-03-11,2021-03-12,136.3706,2021-03-16,136.3706,trailing_stop,0.0,128.1884,0.0
DELL,BUY,0.7046,2021-03-11,2021-03-12,40.9502,2021-03-18,40.9502,trailing_stop,0.0,38.7548,0.0
R,BUY,0.6934,2021-03-15,2021-03-16,67.5873,2021-03-22,63.532,sl_hit,-6.0,63.532,0.0
ITT,BUY,0.6501,2021-03-05,2021-03-08,83.1542,2021-03-23,83.1542,trailing_stop,0.0,78.4031,0.0
