month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2024-02,0.8299,0.8299,0.0,AMAT|BIIB
2024-03,-2.0256,-2.0256,0.0,AMAT|BIIB
2024-04,6.5896,6.5896,0.0,AMAT|BIIB
2024-05,6.3903,6.3903,0.0,AMAT|BIIB
2024-06,-9.0565,-9.0565,0.0,AMAT|BIIB
2024-07,-5.4106,-5.4106,0.0,AMAT|BIIB
2024-08,-1.4524,-1.4524,0.0,AMAT|BIIB
2024-09,-10.1832,-8.2359,-1.9473,AMAT|BIIB
2024-10,-3.9172,-3.9172,0.0,AMAT|GD|FCX|BIIB
2024-11,-8.1964,-8.1964,0.0,FCX|GD|AMAT|BIIB
2024-12,-0.6083,-0.6083,0.0,GD|BIIB|AMAT|FCX
2025-01,-3.3207,-3.3207,0.0,AMAT|GD|BIIB|FCX
2025-02,-0.0785,-0.0785,0.0,GD|FCX|BIIB|AMAT
2025-03,-2.9222,-2.9222,0.0,GD|FCX|BIIB|AMAT
2025-04,5.1594,5.1594,0.0,FCX|GD|AMAT|BIIB
2025-05,7.735,7.735,0.0,FCX|GD|BIIB|AMAT
2025-06,0.1987,0.1987,0.0,AMAT|FCX|GD|BIIB
2025-07,1.8328,1.8328,0.0,GD|AMAT|BIIB|FCX
2025-08,6.6744,6.6744,0.0,FCX|GD|BIIB|AMAT
2025-09,8.0686,8.0686,0.0,AMAT|GD|BIIB|FCX
2025-10,7.1456,7.1456,0.0,AMAT|BIIB|GD|FCX
2025-11,3.8114,3.8114,0.0,AMAT|BIIB|FCX|GD
2025-12,12.8078,12.8078,0.0,FCX|BIIB|AMAT|GD
2026-01,6.5818,6.5818,0.0,AMAT|FCX|BIIB|GD
