ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
CELH,BUY,0.6878,2021-01-04,2021-01-05,16.26,2021-01-05,17.4048,trailing_stop,7.04,15.2844,0.0
IBKR,BUY,0.6934,2021-01-06,2021-01-07,16.4214,2021-01-07,16.9027,trailing_stop,2.93,15.4587,0.0
UTHR,BUY,0.6696,2021-01-06,2021-01-07,165.07,2021-01-07,169.175,trailing_stop,2.49,156.86,0.0
MTSI,BUY,0.66,2021-01-06,2021-01-07,57.5,2021-01-08,59.6907,trailing_stop,3.81,54.05,0.0
MSTR,BUY,0.6935,2021-01-04,2021-01-05,42.105,2021-01-11,52.6871,trailing_stop,25.13,39.5787,0.0
ALB,BUY,0.6771,2021-01-05,2021-01-06,155.9852,2021-01-11,167.6606,trailing_stop,7.48,146.6261,0.0
FCX,BUY,0.6832,2021-01-06,2021-01-07,28.988,2021-01-11,27.2488,sl_hit,-6.0,27.2488,0.0
MS,BUY,0.66,2021-01-06,2021-01-07,63.4185,2021-01-12,64.967,trailing_stop,2.44,60.3215,0.0
NRG,BUY,0.7048,2021-01-11,2021-01-12,34.2907,2021-01-12,35.2146,trailing_stop,2.69,32.443,0.0
DD,BUY,0.6667,2021-01-05,2021-01-06,28.297,2021-01-13,31.8741,trailing_stop,12.64,27.0015,0.0
ADI,BUY,0.6892,2021-01-08,2021-01-11,143.0733,2021-01-13,146.1673,trailing_stop,2.16,136.8852,0.0
GS,BUY,0.6513,2021-01-05,2021-01-06,245.3456,2021-01-14,273.3886,pre_earnings,11.43,233.1812,0.0
PTC,BUY,0.6875,2021-01-11,2021-01-12,130.11,2021-01-14,123.7029,sl_hit,-4.92,123.7029,0.0
AGCO,BUY,0.7124,2021-01-12,2021-01-13,96.5402,2021-01-14,99.159,trailing_stop,2.71,91.3027,0.0
GME,BUY,0.7414,2021-01-13,2021-01-14,9.5225,2021-01-14,8.9512,sl_hit,-6.0,8.9512,0.0
ON,BUY,0.7,2021-01-07,2021-01-08,36.11,2021-01-15,36.9857,trailing_stop,2.43,34.3586,0.0
UTHR,BUY,0.7467,2021-01-11,2021-01-12,168.62,2021-01-15,173.2171,trailing_stop,2.73,159.4257,0.0
APTV,BUY,0.779,2021-01-13,2021-01-14,146.67,2021-01-15,137.8698,sl_hit,-6.0,137.8698,0.0
WBD,BUY,0.6523,2021-01-05,2021-01-06,32.42,2021-01-19,36.6043,trailing_stop,12.91,30.5843,0.0
SCCO,BUY,0.7081,2021-01-07,2021-01-08,54.527,2021-01-19,54.3813,pre_earnings,-0.27,51.8786,0.0
ALLY,BUY,0.7291,2021-01-14,2021-01-15,34.205,2021-01-19,34.9414,pre_earnings,2.15,32.1527,0.0
GME,BUY,0.7802,2021-01-15,2021-01-19,10.3875,2021-01-19,9.7642,sl_hit,-6.0,9.7642,0.0
DD,BUY,0.7673,2021-01-14,2021-01-15,31.1362,2021-01-20,32.1646,trailing_stop,3.3,29.268,0.0
MSTR,BUY,0.7223,2021-01-14,2021-01-15,60.71,2021-01-20,57.0674,sl_hit,-6.0,57.0674,0.0
COHR,BUY,0.7107,2021-01-14,2021-01-15,88.75,2021-01-20,92.3279,trailing_stop,4.03,83.425,0.0
CELH,BUY,0.7428,2021-01-06,2021-01-07,17.5,2021-01-21,21.4451,trailing_stop,22.54,16.45,0.0
JEF,BUY,0.6995,2021-01-06,2021-01-07,21.8511,2021-01-22,20.681,sl_hit,-5.36,20.681,0.0
GME,BUY,0.7414,2021-01-21,2021-01-22,10.6475,2021-01-22,17.2577,trailing_stop,62.08,10.0087,0.0
NRG,BUY,0.6668,2021-01-19,2021-01-20,35.4274,2021-01-25,36.5223,trailing_stop,3.09,33.3018,0.0
MU,BUY,0.6639,2021-01-19,2021-01-20,83.8416,2021-01-25,78.8111,sl_hit,-6.0,78.8111,0.0
ASTS,BUY,0.6617,2021-01-19,2021-01-20,16.23,2021-01-25,15.2562,sl_hit,-6.0,15.2562,0.0
ON,BUY,0.719,2021-01-20,2021-01-21,38.61,2021-01-25,36.2934,sl_hit,-6.0,36.2934,0.0
AMG,BUY,0.6721,2021-01-21,2021-01-22,111.39,2021-01-25,114.1665,trailing_stop,2.49,105.837,0.0
GME,BUY,0.7493,2021-01-25,2021-01-26,22.14,2021-01-26,20.8116,sl_hit,-6.0,20.8116,0.0
TRMB,BUY,0.7093,2021-01-12,2021-01-13,71.69,2021-01-27,67.6086,sl_hit,-5.69,67.6086,0.0
TKO,BUY,0.7075,2021-01-22,2021-01-25,52.5068,2021-01-27,54.365,trailing_stop,3.54,49.3564,0.0
WBD,BUY,0.6733,2021-01-25,2021-01-26,39.47,2021-01-27,47.443,trailing_stop,20.2,37.1018,0.0
GME,BUY,0.7572,2021-01-27,2021-01-28,66.25,2021-01-28,62.275,sl_hit,-6.0,62.275,0.0
PTC,BUY,0.6662,2021-01-28,2021-01-29,137.67,2021-02-05,142.7757,trailing_stop,3.71,129.4098,0.0
TKO,BUY,0.6576,2021-01-29,2021-02-01,53.2909,2021-02-05,49.4917,sl_hit,-7.13,50.0934,0.0
MSTR,BUY,0.7019,2021-02-08,2021-02-09,113.774,2021-02-09,106.9476,sl_hit,-6.0,106.9476,0.0
PSTG,BUY,0.6735,2021-02-05,2021-02-08,27.44,2021-02-10,28.617,trailing_stop,4.29,25.7936,0.0
MSTR,BUY,0.6865,2021-02-10,2021-02-11,113.72,2021-02-11,106.8968,sl_hit,-6.0,106.8968,0.0
WDC,BUY,0.6772,2021-02-11,2021-02-12,48.5289,2021-02-12,50.4339,trailing_stop,3.93,45.6172,0.0
HPE,BUY,0.6695,2021-02-10,2021-02-11,11.9992,2021-02-16,12.4025,trailing_stop,3.36,11.2793,0.0
WBD,BUY,0.7389,2021-01-28,2021-01-29,41.86,2021-02-17,49.36,pre_earnings,17.92,39.3484,0.0
AAON,BUY,0.671,2021-02-09,2021-02-10,52.6645,2021-02-17,49.5047,sl_hit,-6.0,49.5047,0.0
MANH,BUY,0.6886,2021-02-10,2021-02-11,142.92,2021-02-17,134.3448,sl_hit,-6.0,134.3448,0.0
NWSA,BUY,0.7161,2021-02-05,2021-02-08,20.3389,2021-02-18,22.0018,trailing_stop,8.18,19.1186,0.0
TPL,BUY,0.6746,2021-02-05,2021-02-08,103.3241,2021-02-18,117.8526,trailing_stop,14.06,97.1247,0.0
PR,BUY,0.6648,2021-02-16,2021-02-17,3.2531,2021-02-18,3.0415,pre_earnings,-6.5,3.0579,0.0
QXO,BUY,0.7414,2021-02-19,2021-02-22,42.8547,2021-02-22,46.0539,trailing_stop,7.47,40.2834,0.0
WAT,BUY,0.6749,2021-02-02,2021-02-03,289.66,2021-02-23,274.5343,sl_hit,-5.22,274.5343,0.0
AR,BUY,0.7955,2021-02-18,2021-02-19,9.25,2021-02-23,8.64,sl_hit,-6.59,8.695,0.0
GTES,BUY,0.6852,2021-02-22,2021-02-23,17.86,2021-02-24,16.67,sl_hit,-6.66,16.7884,0.0
WAL,BUY,0.7105,2021-02-17,2021-02-18,73.847,2021-02-25,85.1866,trailing_stop,15.36,69.4273,0.0
QXO,BUY,0.7886,2021-02-23,2021-02-24,39.3489,2021-02-25,60.9317,trailing_stop,54.85,36.988,0.0
