date,balance,cash,stock_val,etf_val,sgov_val,n_stocks
2021-01-04,4000.0,0.0,0.0,4000.0,0.0,0
2021-01-05,4076.743993660079,23.874906138339384,336.84,3716.0290875217397,0.0,1
2021-01-06,4235.322530977461,17.37672183442038,1703.528,2514.417809143041,0.0,5
2021-01-07,4287.5028686367405,5.260356631749289,3520.2147999999997,762.0277120049913,0.0,10
2021-01-08,4300.15471017297,6.456058377891111,4044.7508,248.94785179507932,0.0,11
2021-01-11,4388.071784501418,661.0144762978913,3477.3043,249.75300820352666,0.0,9
2021-01-12,4410.079324657916,333.3865628278912,3824.3633,252.3294618300254,0.0,10
2021-01-13,4476.417259181522,537.2466654678913,3687.0022,252.16839371363156,0.0,10
2021-01-14,4474.565508381425,1262.7641392278913,2958.5058,253.2955691535345,0.0,8
2021-01-15,4472.5147703963175,924.9918672278914,3298.4139999999998,249.1089031684257,0.0,9
2021-01-18,4472.5147703963175,924.9918672278914,3298.4139999999998,249.1089031684257,0.0,9
2021-01-19,4502.937809231418,2089.6568010278916,2163.528,249.75300820352666,0.0,6
2021-01-20,4505.64445822057,2092.237941627892,2164.7002,248.70631659267832,0.0,6
2021-01-21,4581.877487278922,2173.6379416278915,2162.1902,246.0493456510301,0.0,6
2021-01-22,4790.373162266966,2331.6646803478916,2214.4304,244.27808191907363,0.0,6
2021-01-25,4747.274574905867,3778.770206947892,725.9975999999999,242.50676795797483,0.0,2
2021-01-26,4722.759476543611,3361.487406947892,1120.6976,240.5744695957194,0.0,3
2021-01-27,4788.019034225311,4788.019034225311,0.0,0.0,0.0,0
2021-01-28,4764.1690342253105,4764.1690342253105,0.0,0.0,0.0,0
2021-01-29,4764.1690342253105,4112.089034225311,652.0799999999999,0.0,0.0,2
2021-02-01,4764.1690342253105,23.972074645813564,1025.1163,3715.080659579497,0.0,3
2021-02-02,4832.94399551264,23.972074645813564,1025.1163,3783.855620866826,0.0,3
2021-02-03,4815.172402858965,171.39728601391118,1314.7763,3328.9988168450536,0.0,4
2021-02-04,4853.091810817035,171.39728601391118,1314.7763,3366.9182248031248,0.0,4
2021-02-05,4855.899932034804,803.3912118239111,666.4000000000001,3386.108720210893,0.0,2
2021-02-08,4877.300372991703,96.47241357633982,1746.9714000000001,3033.856559415363,0.0,5
2021-02-09,4851.349538901655,385.5087971574157,1746.9714000000001,2718.8693417442396,0.0,5
2021-02-10,4857.140399510883,64.80675275046758,2511.5716,2280.7620467604147,0.0,7
2021-02-11,4847.902762104798,119.85769684206679,3193.3852,1534.6598652627315,0.0,9
2021-02-12,4871.73759397237,419.9688875818763,3193.3852,1258.3835063904933,0.0,9
2021-02-15,4871.73759397237,419.9688875818763,3193.3852,1258.3835063904933,0.0,9
2021-02-16,4881.63851781571,829.2472005418763,2797.4116,1254.9797172738336,0.0,8
2021-02-17,4903.858837855039,1482.0835185418762,2172.8176000000003,1248.9577193131624,0.0,6
