ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
MRVL,STRONG_BUY,2021-12-08,2021-12-09,89.1424,2021-12-16,82.011,sl_hit,-8.0,82.011,0.0
TOL,BUY,2021-12-13,2021-12-14,68.0354,2021-12-20,63.1171,sl_hit,-7.23,63.1171,0.0
PFE,BUY,2021-12-17,2021-12-20,48.5289,2022-01-04,44.6466,sl_hit,-8.0,44.6466,0.0
PSTG,BUY,2021-12-08,2021-12-09,32.99,2022-01-06,30.3508,sl_hit,-8.0,30.3508,0.0
FR,BUY,2021-12-13,2021-12-14,56.7963,2022-01-10,54.5146,sl_hit,-4.02,54.6711,0.0
COST,BUY,2021-12-13,2021-12-14,529.8024,2022-01-10,500.4697,sl_hit,-5.54,500.4697,0.0
REXR,BUY,2021-12-21,2021-12-22,67.4887,2022-01-14,64.4399,sl_hit,-4.52,64.4399,0.0
AVGO,BUY,2021-12-14,2021-12-15,56.6591,2022-01-19,53.2764,sl_hit,-5.97,53.2764,0.0
BLDR,BUY,2021-12-08,2021-12-09,76.51,2022-01-20,70.3892,sl_hit,-8.0,70.3892,0.0
F,BUY,2022-01-10,2022-01-11,17.9397,2022-01-20,16.5063,sl_hit,-7.99,16.558,0.0
PSA,BUY,2021-12-21,2021-12-22,301.196,2022-01-24,288.2234,sl_hit,-4.31,288.2234,0.0
HSY,BUY,2022-01-20,2022-01-21,182.0991,2022-01-25,176.5955,sl_hit,-3.02,176.5955,0.0
MKC,BUY,2022-02-02,2022-02-03,93.4501,2022-02-18,88.9229,sl_hit,-4.84,88.9229,0.0
VRTX,BUY,2022-02-03,2022-02-04,241.27,2022-02-24,226.7829,sl_hit,-6.0,226.7829,0.0
OMC,BUY,2022-02-10,2022-02-11,74.9718,2022-03-04,69.9974,sl_hit,-6.64,69.9974,0.0
SLB,BUY,2022-01-31,2022-02-01,35.2275,2022-03-15,35.8958,trailing_stop,1.9,32.4093,0.0
AA,BUY,2022-03-21,2022-03-22,86.2297,2022-04-11,79.3313,sl_hit,-8.0,79.3313,0.0
NUE,BUY,2022-03-21,2022-03-22,135.2809,2022-04-22,152.673,trailing_stop,12.86,124.4585,0.0
BRK-B,BUY,2022-03-18,2022-03-21,344.99,2022-04-25,330.8243,sl_hit,-4.11,330.8243,0.0
EOG,BUY,2022-03-21,2022-03-22,102.2582,2022-04-25,94.0776,sl_hit,-8.0,94.0776,0.0
OVV,BUY,2022-03-21,2022-03-22,45.8683,2022-04-25,42.1988,sl_hit,-8.0,42.1988,0.0
COR,BUY,2022-03-18,2022-03-21,146.8204,2022-04-29,148.023,trailing_stop,0.82,140.403,0.0
LLY,STRONG_BUY,2022-03-21,2022-03-22,279.7549,2022-05-03,278.2097,timeout_30d,-0.55,266.8288,0.0
LNG,BUY,2022-03-21,2022-03-22,130.2262,2022-05-03,135.043,timeout_30d,3.7,119.8081,0.0
TRGP,BUY,2022-03-21,2022-03-22,65.2081,2022-05-09,62.1916,timeout_30d,-4.63,60.4628,0.0
MCK,BUY,2022-02-10,2022-02-11,267.6002,2022-06-13,302.2391,trailing_stop,12.94,251.9429,0.0
BE,BUY,2022-08-16,2022-08-17,26.0,2022-08-22,23.92,sl_hit,-8.0,23.92,0.0
RNA,BUY,2022-08-16,2022-08-17,21.58,2022-08-30,19.8536,sl_hit,-8.0,19.8536,0.0
