month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2020-12,-1.1251,-0.4318,-0.6933,TTWO|WMS|TSLA|SCCO|SNPS|SBUX|TTC|VRSK|SSNC|TRMB|SITE|WCC|TER|WBD|WDC|UEC|TPR|ZS|XYL|XPO|SYK|BG|TMUS|STZ|TKR|SW|SCHW|WY|ZBRA|VTRS|YUM|SLAB|SMTC|TYL|SYF|RVTY|ZWS|TJX|TTMI|TGT|TRV|ULTA|WAT|TROW|TXN|V|SAIA|UNH|TKO|WWD|WAL|TT|TECH|XYZ|UNP|SMCI|TRU|LVS|VOYA|TXT|SF|SGI|STRL|TXRH|Z|WTRG|STE|ZBH|USB|SNX|SO|TWLO|ZTS|THC|URI|WST|TEX|SPXC|VST|UBER|VMC|SUI|TEAM|TTEK|GEN|UHS|VRSN|STLD|ZION|WFC|SCI|UMBF|WYNN|SHW|SWKS|SPOT|STT|WBS|WDAY|TRGP
2021-01,7.7771,7.4609,0.3163,WBD|WSM|TKO|SWKS|SFM|TOL|VRT|WDC|SW|WST|TROW|WAT|THC|WING|TSLA|TMO|TXN|TAP|WAL|SCI|XP|SCCO|SLAB|SF|TTWO|TYL|SPG|ZS|TGT|RYN|RVTY|SJM|SNPS|TTC|BG|URI|TEAM|ZBRA|XYZ|GEN|TTEK|TECH|WCC|TWLO|SMTC|TKR|WBS|TTD|WMS|SITE|TRMB|STRL|TT|TEX|RVMD|TPR|UEC|SAIA|Z|STE|UNM|TER|UMBF|TMUS|VNOM|UBER|WTRG|STZ|VICI|SNX|TRV|T|SGI|UDR|SYF|WMB|TJX|SMCI|TXRH|ZBH|SWK|W|ULTA|SCHW|TRGP|SPOT|XOM|WDAY|XYL|VST|TSCO|WY|XPO|TXT|SYY|UGI|ZION|UNP|VMC|SBUX
2021-02,3.7455,4.4013,-0.6557,WAL|WBS|SF|WMS|TPR|ZBRA|WBD|VLO|TW|UMBF|WYNN|SGI|URI|XOM|TXRH|ZION|UAL|VMC|SCHW|SLB|TFC|SPG|STRL|BG|SBUX|VICI|TTC|SLAB|WDC|LVS|TEX|TRMB|SYF|UNM|SYY|STLD|ULTA|ZBH|USB|TYL|SANM|TRGP|SCCO|TKR|ZWS|TROW|VTR|TTEK|VOYA|THC|UEC|RYN|VRT|TT|WAT|TRV|WMB|WSM|WFC|VNOM|SMCI|WRB|SAIA|TOL|TTMI|SNX|WFRD|USFD|WCC|TXT|TSCO|V|SW|SYK|TECH|TWLO|WY|SWKS|WELL|TXN|Z|SPXC|TKO|STAG|SUI|ZS|WTW|W|SITE|XYL|TEAM|SSB|XPO|XYZ|UGI|UNH|TER|UNP|TSN|TGT
2021-03,5.5778,4.4547,1.1231,WSM|SNX|WM|SFM|STLD|TGT|USB|ORLY|SANM|SWK|KNX|SMCI|URI|TSCO|STT|UNH|TXN|WAT|UEC|SAIA|WRB|TXT|WPC|RSG|UGI|STAG|TRMB|TAP|TT|T|TEX|TSN|TTMI|VMC|UAL|TXRH|SJM|UMBF|VOYA|SO|UNP|WTW|BG|TFC|SF|SRE|STRL|ZBRA|TOL|UNM|VICI|WAL|SCI|XYL|SPG|WFC|UPS|SCHW|WELL|RTX|SYF|WAB|TTC|SPGI|WMB|UDR|TROW|SWKS|USFD|SGI|WY|TECH|WMS|TTEK|WEC|TMHC|SHW|STE|ZION|SYK|SEIC|TW|RYN|SBUX|THC|ZWS|TRV|WDC|TRGP|VTR|TPR|SPXC|TER|XOM|SITE|XEL|YUM|XPO|VRT|VZ
2021-04,2.0562,1.4748,0.5814,UPS|VICI|WTW|TXT|ORLY|SUI|YUM|THC|TXRH|WM|SO|VNOM|SPGI|WST|STAG|RTX|TRU|WFC|STLD|SHW|SCHW|ZBH|WPC|WY|VRT|SPG|SYF|USFD|USB|RSG|TW|UNH|ZTS|SSNC|STE|VRSN|SYY|XPO|V|TPR|UHS|TRGP|WING|UMBF|TTC|RYN|SYK|TSCO|UGI|T|TOL|XYL|TGT|TAP|WAL|VOYA|SRE|TECH|UDR|VFC|BG|WRB|SJM|TT|XEL|WMB|TJX|WDC|SWK|VMC|SSB|SF|SNX|WELL|XOM|TROW|SBAC|SCI|SLB|ZWS|TFC|WAT|WCC|AXSM|TIGO|SEIC|VLO|WEC|WWD|STT|VTR|STZ|MANH|TRMB|SBUX|ZION|TTMI|WYNN|TSN|BRO
2021-05,-0.0973,1.4296,-1.5269,WST|RTX|VRT|TGT|UHS|GEN|F|TXT|THC|WAT|UGI|TT|OWL|TW|XYL|BXP|TIGO|UPS|EXPD|SPG|WMB|SYF|EXE|TOL|UDR|TMUS|DKS|TRGP|WTW|CHRD|SWK|STLD|SHW|TAP|INVH|UNH|SCHW|HL|GME|ZS|WCC|SUI|SNX|HCA|RBLX|RYN|AVB|MS|UNM|XPO|RSG|WFC|TRU|EQR|CUBE|ZTS|YUM|LNG|BX|ULTA|UAL|TROW|LKQ|BLK|NVDA|CPT|SOFI|WM|IP|IRM|AMH|AFL|HWM|ESI|CINF|AVY|MRSH|RVTY|EXR|ALLY|WAB|WTRG|MDLZ|PSA|TEX|WPC|A|CRH|CNC|COF|SGI|NEM|AIG|KDP|IQV|J|CRM|MSI|NTRS|PR
2021-06,4.2239,0.6032,3.6207,ORLY|TGT|QXO|ROKU|NKE|VRT|ARES|SLAB|TTD|SWKS|AXON|WST|DECK|SPGI|WELL|TROW|CMG|TMO|WAT|WMS|RMBS|SNPS|AMD|ZBRA|TWLO|MSCI|MRVL|IDXX|ZTS|GNRC|RVTY|REGN|FWONK|APO|NVDA|ZM|DPZ|NRG|XYL|TYL|MRNA|GMED|LLY|INTU|SBAC|RSG|ADBE|ASTS|RMD|ROP|NET|ZS|MCO|STE|A|VEEV|JEF|FSLR|LULU|AR|TECH|TRU|RRC|WING|ILMN|MSI|EBAY|PAYX|VRSN|CTAS|TT|MSFT|TXT|DASH|ACN|CARR|AMT|EXR|DOCU|ISRG|CRL|TRMB|DXCM|AAPL|KEYS|BMRN|FND|CHTR|ICE|CG|MTCH|PYPL|PINS|ULTA|CBOE|TSLA|TSCO|GDDY|LH|MTSI
2021-07,4.5815,2.7435,1.838,RVTY|SCI|WST|YUM|SUI|TRU|TEAM|RSG|STAG|WAT|TT|WM|ZWS|UDR|TGT|RGEN|MPWR|AMD|TMO|PFE|DXCM|ARES|BX|SSNC|SPGI|STLD|SBAC|SHW|HOLX|ZTS|CBRE|CARR|STE|TYL|UHS|WPC|MAA|MSCI|XYL|ARE|SGI|CRL|MANH|VRT|RMD|MRNA|FFIV|ORLY|ALB|CMG|ELS|TECH|DHR|GOOGL|COST|OTIS|EW|CPT|KKR|SYK|LH|AON|GRMN|DG|SNPS|CG|DGX|ADSK|ACI|ZBRA|ROK|KEYS|SPXC|DOC|SAIA|DOV|PG|ALGN|NOW|CDNS|ISRG|PNR|FND|EXR|NUE|PAYX|WING|EFX|IT|APG|ZS|VEEV|CPRT|HCA|NET|GMED|TTEK|A|INTU|WCC
2021-08,-5.0708,-3.3295,-1.7413,ZS|DKS|SNPS|ULTA|WSM|WAT|PSTG|XYL|RSG|TRMB|WM|WDAY|PANW|SUI|WST|TEAM|CUBE|SBAC|VRSK|TROW|NOW|BX|NTAP|AFRM|KEYS|TTEK|INTU|STAG|EPRT|CRWD|CDNS|EXR|RGEN|A|CRL|VNT|ZWS|MSI|TECH|CHTR|QGEN|AMCR|NFLX|SHW|GTLS|APH|GOOGL|SITE|ACN|GOOG|WAB|ZBRA|RVTY|CRM|FDS|ARES|SNOW|TRU|DT|MPWR|RMD|HOLX|BALL|ROK|SYK|ODFL|SMTC|DGX|AON|OKTA|TMO|CDW|BMRN|ADBE|TOL|OTIS|GRMN|MRSH|MSCI|NVDA|ACI|PLD|BLDR|EBAY|STT|FN|PKG|KNX|DKNG|BRO|NRG|JEF|CARR|AVY|ELS|EFX|NDAQ|BJ|VRT|SGI
2021-09,8.1265,6.1189,2.0076,VNOM|CTRA|RRC|WAL|TRGP|DVN|ZION|CF|COP|ZWS|AR|NFLX|FDS|WFRD|LNG|PR|FITB|TSLA|OVV|WBS|FOXA|SSB|FANG|EXEL|UMBF|LPLA|FOX|TTEK|TSN|WMB|MOS|EOG|COLB|TEAM|HIG|MTB|BG|XOM|CFG|CYTK|TFC|USB|GBCI|EXE|RF|RKLB|BKR|RRX|KEY|TSCO|EWBC|DELL|DTM|OKE|PANW|TMO|OWL|VLO|DLTR|OXY|SMTC|AFRM|FWONK|TKO|AIG|IONQ|CHRD|PAYX|ORLY|F|VRSK|JEF|PWR|PB|CBRE|AA|BPOP|AM|CRM|JPM|MAR|EXPE|WCC|SLB|RCL|DT|CWST|PAYC|URI|BAC|EQT|NFG|SITE|ACI|APA|HBAN|HLT|EA|SGI|FTI
