ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
AU,BUY,2021-12-06,2021-12-07,18.3334,2021-12-13,17.0546,sl_hit,-6.98,17.0546,0.0
NVDA,BUY,2021-12-07,2021-12-08,31.9371,2021-12-13,29.3822,sl_hit,-8.0,29.3822,0.0
CTRE,BUY,2021-12-08,2021-12-09,18.152,2021-12-13,16.8717,sl_hit,-7.05,16.8717,0.0
LRCX,BUY,2021-12-09,2021-12-10,67.8523,2021-12-20,62.9119,sl_hit,-7.28,62.9119,0.0
TOL,BUY,2021-12-13,2021-12-14,68.0354,2021-12-20,63.1171,sl_hit,-7.23,63.1171,0.0
ANET,BUY,2021-12-09,2021-12-10,32.375,2022-01-07,33.0023,trailing_stop,1.94,30.3049,0.0
FAST,BUY,2021-12-08,2021-12-09,28.2442,2022-01-10,27.1409,sl_hit,-3.91,27.1409,0.0
MRVL,BUY,2021-12-13,2021-12-14,83.469,2022-01-10,76.7915,sl_hit,-8.0,76.7915,0.0
AVGO,BUY,2021-12-20,2021-12-21,60.0348,2022-01-10,56.0667,sl_hit,-6.61,56.0667,0.0
TER,BUY,2021-12-09,2021-12-10,156.7112,2022-01-19,145.6083,sl_hit,-7.08,145.6083,0.0
TSM,BUY,2022-01-12,2022-01-13,131.4909,2022-01-19,124.2654,sl_hit,-5.5,124.2654,0.0
MU,BUY,2021-12-07,2021-12-08,83.4801,2022-01-20,83.2072,timeout_30d,-0.33,76.8017,0.0
CRUS,BUY,2021-12-08,2021-12-09,87.83,2022-01-20,87.17,timeout_30d,-0.75,81.84,0.0
RMBS,BUY,2021-12-13,2021-12-14,27.43,2022-01-20,25.4,sl_hit,-7.4,25.4,0.0
WFRD,BUY,2022-01-12,2022-01-13,30.2959,2022-01-21,27.8722,sl_hit,-8.0,27.8722,0.0
SCCO,BUY,2022-01-07,2022-01-10,51.7605,2022-01-24,52.2293,trailing_stop,0.91,49.5416,0.0
HWM,BUY,2022-01-10,2022-01-11,33.5263,2022-01-24,31.7691,sl_hit,-5.24,31.7691,0.0
NEM,BUY,2022-01-20,2022-01-21,56.8706,2022-01-24,54.2882,sl_hit,-4.54,54.2882,0.0
CTSH,BUY,2022-02-09,2022-02-10,84.3581,2022-02-22,79.3729,sl_hit,-5.91,79.3729,0.0
STRL,BUY,2022-02-08,2022-02-09,29.73,2022-02-24,27.3516,sl_hit,-8.0,27.3516,0.0
MU,BUY,2022-02-10,2022-02-11,89.2812,2022-02-24,82.1387,sl_hit,-8.0,82.1387,0.0
LPLA,BUY,2022-02-10,2022-02-11,184.9797,2022-02-24,171.335,sl_hit,-7.38,171.335,0.0
CTRA,BUY,2022-02-02,2022-02-03,18.7882,2022-03-14,20.242,trailing_stop,7.74,17.2851,0.0
CF,BUY,2021-12-20,2021-12-21,59.3698,2022-03-16,83.241,trailing_stop,40.21,54.9178,0.0
AU,BUY,2022-02-15,2022-02-16,19.1399,2022-03-16,21.3954,trailing_stop,11.78,17.7587,0.0
MLI,BUY,2022-03-18,2022-03-21,28.825,2022-03-25,27.0437,sl_hit,-6.18,27.0437,0.0
CF,BUY,2022-03-18,2022-03-21,90.3667,2022-03-29,83.1374,sl_hit,-8.0,83.1374,0.0
RMBS,BUY,2022-03-18,2022-03-21,31.23,2022-04-05,28.7316,sl_hit,-8.0,28.7316,0.0
NVDA,BUY,2022-03-18,2022-03-21,26.4603,2022-04-06,24.3434,sl_hit,-8.0,24.3434,0.0
VRTX,BUY,2021-12-06,2021-12-07,205.54,2022-04-12,281.15,timeout_90d,36.79,192.11,0.0
CYTK,BUY,2022-04-06,2022-04-07,42.17,2022-04-18,38.7964,sl_hit,-8.0,38.7964,0.0
MOS,BUY,2022-02-02,2022-02-03,39.2926,2022-04-21,64.5095,trailing_stop,64.18,36.1492,0.0
ANET,BUY,2022-03-18,2022-03-21,32.6975,2022-04-21,30.0817,sl_hit,-8.0,30.0817,0.0
NUE,BUY,2022-02-09,2022-02-10,111.6372,2022-04-22,157.895,trailing_stop,41.44,102.7062,0.0
NEM,BUY,2022-03-25,2022-03-28,69.4526,2022-04-22,64.3629,sl_hit,-7.33,64.3629,0.0
BRK-B,BUY,2022-03-18,2022-03-21,344.99,2022-04-25,330.8243,sl_hit,-4.11,330.8243,0.0
CF,BUY,2022-04-05,2022-04-06,95.6926,2022-04-25,88.0372,sl_hit,-8.0,88.0372,0.0
PANW,BUY,2022-03-18,2022-03-21,95.8267,2022-05-02,95.325,timeout_30d,-0.52,88.1605,0.0
CTRA,BUY,2022-03-29,2022-03-30,23.3108,2022-06-14,26.7992,trailing_stop,14.96,21.4459,0.0
ADI,BUY,2022-08-16,2022-08-17,163.6565,2022-08-22,155.9184,sl_hit,-4.73,155.9184,0.0
VRTX,BUY,2022-08-16,2022-08-17,300.04,2022-08-23,283.95,sl_hit,-5.36,283.95,0.0
CRUS,BUY,2022-08-16,2022-08-17,86.99,2022-08-29,81.8043,sl_hit,-5.96,81.8043,0.0
RNA,BUY,2022-08-16,2022-08-17,21.58,2022-08-30,19.8536,sl_hit,-8.0,19.8536,0.0
