month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2022-02,6.1659,2.7364,3.4294,AR|EXE|LNG|NOC|MOS|CF|PANW|DVN|RRC|NUE|OVV|FHN|FCX|PR|LMT|LHX|RTX|VNOM|GD|AU|STLD|APA|CMC|UEC|CVX|TRGP|OXY|FANG|THC|HSIC|PFGC|LDOS|ATI|COP|BG|FTNT|IRM|RGLD|PCVX|HAL|MP|ABBV|EXEL|HII|RL|XLE|HWM|UHS|SRE|LYV|BWXT|SYY|ADM|TAP|VST|WMB|BLDR|WWD|OKE|KTOS|MCK|KHC|ATO|JBHT|AA|SCCO|TKO|BKR|CPNG|EOG|STE|DAR|ON|GEN|JKHY|XAR|EXC|TDG|AXP|EQT|TXRH|SSB|HXL|COR|CCK|MPC|CI|USFD|CRS|CTRA|CTVA|MTB|XOM|HCA|BMY|ESI|HWC|TXT|HL|NEM
2022-03,-5.6051,-8.1006,2.4955,EQT|AR|VLO|RRC|FWONK|MP|MPC|TRGP|OVV|TSLA|EXC|SRE|HQY|IRM|AXS|EXE|DINO|JKHY|VAL|NE|NEM|AXSM|AGCO|APA|CTRA|ADM|RIG|NI|WFRD|UNM|EXEL|WRB|PAYX|CRS|HAL|AJG|PSX|GME|KR|PSA|PANW|VRTX|NFG|FE|MCK|EIX|DXCM|BRO|ED|CINF|NUE|AES|DLTR|RMBS|VTR|KMI|OKE|ATO|ENPH|CNP|PWR|RCL|MDB|ABBV|FLS|WMB|RGLD|LULU|CF|WELL|CRWD|AEP|MOS|ALB|AON|CEG|DAR|OGE|BRK-B|AA|AM|UAL|HST|SO|TKO|REGN|ALL|COR|VST|HSY|COST|AEE|BMY|FLEX|ELV|LNG|MRSH|CTAS|PNW|ANET
2022-04,2.1527,0.397,1.7557,VLO|AR|CYTK|UAL|MRK|VST|WM|HST|LLY|MPC|CTRA|EQT|KMB|HSY|SHW|PTC|WDC|SMCI|KHC|MO|PCG|HUBB|DAL|SANM|WY|PSX|XOM|VRTX|BMY|CHRW|HLT|LNG|MHK|APA|OVV|PKG|OC|WMB|RYN|RSG|ELV|NFG|STLD|DOW|ARW|REXR|GOLD|KIM|WRB|KO|VICI|MCK|CTVA|ROP|DLTR|RPRX|MAR|PG|TAP|NUE|GTLS|AVY|VAL|AMCR|LKQ|LYB|PCVX|HRL|MNST|FHN|H|MA|EXEL|GIS|JNJ|RRC|GD|HAS|PEP|ADM|XLE|AEP|JAZZ|EOG|AXS|DINO|TSN|TRGP|USFD|CMC|HUM|AAL|STZ|DVN|MKC|EXC|LUV|BG|CF|WMT
2022-05,-13.5748,-9.5615,-4.0133,AR|RRC|EQT|CHRD|OVV|APA|CTRA|FANG|VNOM|SLB|EOG|HAL|DVN|OXY|ALB|EXE|MPC|XLE|NOV|WFRD|CTVA|COP|PSX|DINO|MOD|LPLA|HALO|FLR|VLO|TKO|XOM|ORA|NE|PGR|LLY|WRB|NFG|STLD|ULTA|LUMN|WMB|BKR|FTI|UNM|ENPH|AVAV|CELH|LYB|VST|VTRS|NRG|ON|LNT|UGI|CVX|CEG|VAL|CNP|MTB|ED|EXC|ADM|BG|HPQ|T|KLAC|WDC|ALL|SNPS|ASTS|SANM|VOYA|AMGN|GOLD|DTM|RCAT|EA|AM|PFE|IBM|BX|DLTR|DOX|EPAM|VICI|TPG|JBL|WAB|NI|AMCR|OGE|EIX|MPWR|MCK|KMI|ADI|MCHP|ELV|SMCI|ATI
2022-06,4.0511,10.6103,-6.5592,GIS|LLY|AXSM|LW|RBA|VRTX|NOC|BAH|MCK|BWXT|UNH|DG|HUM|HII|ABBV|T|SYY|OLLI|PFE|KMB|RPRX|MRK|CELH|MNST|ED|CI|BMY|SCI|PFGC|WEC|WRB|LHX|ADC|CAG|UNM|JAZZ|BMRN|PWR|CNC|PGR|NBIX|IBM|AEE|DTE|CL|EXEL|RTX|CMS|KO|LMT|XEL|FWONK|LNG|CHD|QGEN|AXS|BJ|EXC|BBIO|AMCR|RSG|TAP|ATO|NI|DOX|OGE|SO|ROL|AJG|DUK|PEP|AEP|CTRE|ETR|CNP|ORA|HSY|O|INCY|TTEK|GL|TMUS|WAT|VICI|D|WM|AAON|EVRG|ELV|ACGL|MDLZ|PNW|RCAT|ENPH|TRV|CWST|OXY|KHC|MCD|TSN
2022-07,-0.7779,-2.2102,1.4323,ON|MLI|GTLS|SMCI|ENPH|FIX|SNPS|CRDO|RRC|AR|ALB|FSLR|CDNS|LNG|LPLA|EQT|LSCC|VNOM|CELH|EXE|XOM|PWR|OXY|FTI|TKO|RGEN|CHRD|LW|KLAC|UEC|RBA|ONTO|CTRA|MOD|DVN|GPC|HUBB|WMS|WING|CVX|OVV|MPWR|VST|DINO|SANM|AEIS|CEG|NOV|CF|ONB|PTC|DHR|ORA|NFG|WAT|MTSI|ADP|VAL|SPXC|CSGP|MOH|LEA|SSB|WTRG|GNRC|AAON|KNX|TSLA|MANH|STRL|ADC|JKHY|WCC|NEE|APH|CRUS|ROL|IR|GKOS|MTB|FWONK|NDAQ|TTEK|TRGP|XLE|TKR|SRE|HXL|KEYS|TPG|ALSN|ADSK|SAIA|PCAR|DTM|VEEV|HWM|TMO|MPC|NUE
2022-08,-8.1866,-9.3443,1.1578,UEC|AXSM|FSLR|BJ|RCAT|CAH|CYTK|HQY|SNOW|PR|MOH|MCK|CEG|COP|WFRD|DVN|AES|PCG|PANW|OVV|DINO|OXY|CHRD|EXE|ULTA|NU|PINS|ORA|LNG|SMCI|CTRA|ADM|CELH|GPC|EOG|LPLA|BE|EQT|APA|CTVA|QXO|PWR|FLUT|ENPH|MPC|CWAN|PCVX|ON|CF|VAL|NBIX|OHI|CTRE|RPM|SJM|APLD|ASTS|XOM|FANG|TOST|ATI|ALB|PEN|GIS|UNM|BR|CI|DKS|QSR|XLE|EPAM|WMS|PGR|LW|KEX|RBA|HII|MOD|IONS|FDS|MTB|DECK|AJG|BAH|STLD|TMUS|TTMI|PSTG|CHRW|SANM|DAR|VLO|F|RKLB|SRE|NOC|ALNY|SO|ED|PFG
2022-09,10.6919,10.0876,0.6043,BIIB|DINO|WFRD|CDE|LNG|MPC|CWAN|LLY|HUBB|FSLR|TKO|CHRD|IONS|CAH|FIVE|UNM|PEN|RMBS|VRTX|REGN|NBIX|GKOS|BLDR|ORLY|RRX|HOOD|GH|NFLX|PCG|LW|FTI|TXRH|LVS|CEG|LPLA|SANM|MOH|MLI|ACGL|ANET|VLO|SCHW|ALNY|AU|QBTS|DRI|HUM|COP|FIX|JBL|BJ|WYNN|FHN|GOLD|CF|GIS|EXE|BMY|TTC|NE|PINS|GTLS|TTD|GPC|NTNX|WING|CI|ENPH|VAL|FN|ALB|DKS|CDNS|AXON|VNOM|OKLO|MSTR|PLTR|KNX|WMS|TJX|SFM|SMCI|AG|PSTG|HSY|SPXC|OXY|IBKR|IEX|SSB|WPM|SJM|CSGP|ULTA|GL|WRB|MTB|MANH|HQY
2022-10,3.317,6.1089,-2.7919,SMCI|MOD|VAL|ACGL|WFRD|PCVX|FIX|GILD|APA|WING|FSLR|PFG|RJF|JXN|CI|LMT|ORLY|XOM|LPLA|GPC|UNM|NOV|FLR|HAL|ADM|TOST|NOC|DVN|DINO|GTLS|TEX|CVX|NE|CAH|TTC|CAT|FN|AMP|DXCM|ENPH|PSX|IBKR|XLE|HUM|ROL|VRT|FANG|FLEX|AXON|LLY|CSGP|BAH|FNB|NCLH|EOG|MET|CEG|RMBS|MCK|ROIV|ELV|MPC|NFLX|SCHW|EAT|FLUT|SLB|HOOD|HQY|CTVA|GBCI|CMC|CB|HWC|AGCO|MRK|TJX|AAON|COP|ALSN|TSCO|AES|ONB|STLD|DTM|COR|HII|WBS|FTI|NRG|TMUS|ALNY|OXY|WRB|ROST|COLB|BJ|AMGN|SANM|TKR
2022-11,-2.6761,-5.1102,2.4341,AXSM|CELH|NBIX|BMRN|DE|HALO|FLEX|DECK|FSLR|LVS|MRK|RL|BURL|SMCI|FLUT|COR|BBY|PFGC|TMHC|HPE|ROST|GMED|AGCO|JBL|ACGL|SFM|WYNN|PEN|PCG|APO|RVMD|HL|GILD|LULU|CMC|GL|ARMK|LSCC|FN|AIG|MCHP|ACM|AES|STRL|EHC|FCX|TPR|H|HCA|WTW|SBUX|PCVX|GIS|FTI|USFD|IT|ANET|ABBV|RGLD|OMC|TJX|CNH|ULTA|MSI|NWSA|ALSN|DHI|ATO|LLY|WRB|CI|NDAQ|AFL|BWXT|CAG|ORLY|CAH|PLNT|WAT|STLD|DKS|HIG|RMBS|GAP|OLLI|CWAN|BSX|UHS|TKR|APD|IBKR|FE|TEX|PCAR|SRE|SANM|AVGO|FLR|A|YUM
