ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
AU,BUY,2021-12-06,2021-12-07,18.3334,2021-12-13,17.0546,sl_hit,-6.98,17.0546,0.0
NVDA,BUY,2021-12-07,2021-12-08,31.9371,2021-12-14,27.9475,sl_hit,-12.49,27.9475,0.0
AMAT,BUY,2021-12-07,2021-12-08,151.2841,2021-12-20,138.4875,sl_hit,-8.46,138.4875,0.0
TOL,BUY,2021-12-13,2021-12-14,68.0354,2021-12-20,63.1171,sl_hit,-7.23,63.1171,0.0
FAST,BUY,2021-12-06,2021-12-07,28.2172,2022-01-10,27.1962,sl_hit,-3.62,27.1962,0.0
AVGO,BUY,2021-12-20,2021-12-21,60.0348,2022-01-10,56.0667,sl_hit,-6.61,56.0667,0.0
CTRE,BUY,2021-12-06,2021-12-07,17.8121,2022-01-18,18.2831,timeout_30d,2.64,16.6162,0.0
TER,BUY,2021-12-06,2021-12-07,151.5825,2022-01-18,152.8401,timeout_30d,0.83,141.3451,0.0
FN,BUY,2021-12-06,2021-12-07,117.0,2022-01-18,113.96,timeout_30d,-2.6,110.1586,0.0
LRCX,BUY,2021-12-06,2021-12-07,64.6907,2022-01-18,64.8805,timeout_30d,0.29,60.2867,0.0
SMCI,BUY,2022-01-18,2022-01-19,4.617,2022-01-19,4.3331,sl_hit,-6.15,4.3331,0.0
MU,BUY,2021-12-07,2021-12-08,83.4801,2022-01-20,83.2072,timeout_30d,-0.33,76.2889,0.0
ANET,BUY,2021-12-14,2021-12-15,32.925,2022-01-20,31.093,sl_hit,-5.56,31.093,0.0
FCX,BUY,2022-01-18,2022-01-19,42.461,2022-01-21,39.6625,sl_hit,-6.59,39.6625,0.0
HWM,BUY,2022-01-10,2022-01-11,33.5263,2022-01-24,31.7691,sl_hit,-5.24,31.7691,0.0
TSM,BUY,2022-01-18,2022-01-19,125.7641,2022-01-24,115.6546,sl_hit,-8.04,115.6546,0.0
WFRD,BUY,2022-01-18,2022-01-19,30.2082,2022-01-24,26.7076,sl_hit,-11.59,26.7076,0.0
STRL,BUY,2022-01-19,2022-01-20,27.72,2022-01-24,25.6714,sl_hit,-7.39,25.6714,0.0
NEM,BUY,2022-01-20,2022-01-21,56.8706,2022-01-24,54.2882,sl_hit,-4.54,54.2882,0.0
INCY,BUY,2022-01-24,2022-01-25,74.79,2022-01-28,70.7857,sl_hit,-5.35,70.7857,0.0
BX,BUY,2022-02-01,2022-02-02,118.081,2022-02-11,108.671,sl_hit,-7.97,108.671,0.0
V,BUY,2022-02-01,2022-02-02,223.9713,2022-02-23,209.1325,sl_hit,-6.63,209.1325,0.0
SCCO,BUY,2022-01-10,2022-01-11,51.4146,2022-02-24,53.9308,timeout_30d,4.89,49.1865,0.0
MU,BUY,2022-02-15,2022-02-16,92.372,2022-02-24,84.2733,sl_hit,-8.77,84.2733,0.0
FANG,BUY,2022-01-28,2022-01-31,105.8027,2022-03-14,104.7666,timeout_30d,-0.98,94.867,0.0
KEX,BUY,2022-01-28,2022-01-31,65.51,2022-03-15,68.09,timeout_30d,3.94,60.7929,0.0
MLI,BUY,2022-03-18,2022-03-21,28.825,2022-03-25,27.0437,sl_hit,-6.18,27.0437,0.0
RMBS,BUY,2022-03-18,2022-03-21,31.23,2022-04-06,28.4014,sl_hit,-9.06,28.4014,0.0
NVDA,BUY,2022-03-18,2022-03-21,26.4603,2022-04-07,23.7475,sl_hit,-10.25,23.7475,0.0
VRTX,BUY,2021-12-06,2021-12-07,205.54,2022-04-12,281.15,timeout_90d,36.79,192.11,0.0
CYTK,BUY,2022-04-06,2022-04-07,42.17,2022-04-18,38.3286,sl_hit,-9.11,38.3286,0.0
ANET,BUY,2022-03-18,2022-03-21,32.6975,2022-04-22,29.9528,sl_hit,-8.39,29.9528,0.0
