ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
UTHR,BUY,0.6696,2021-01-06,2021-01-07,165.07,2021-01-07,167.1225,trailing_stop,1.24,156.86,0.0
MTSI,BUY,0.66,2021-01-06,2021-01-07,57.5,2021-01-08,58.5954,trailing_stop,1.9,54.05,0.0
MSTR,BUY,0.6935,2021-01-04,2021-01-05,42.105,2021-01-11,52.6871,trailing_stop,25.13,39.5787,0.0
ALB,BUY,0.6771,2021-01-05,2021-01-06,155.9852,2021-01-11,167.6606,trailing_stop,7.48,146.6261,0.0
FCX,BUY,0.6832,2021-01-06,2021-01-07,28.988,2021-01-11,27.2488,sl_hit,-6.0,27.2488,0.0
DD,BUY,0.6667,2021-01-05,2021-01-06,28.297,2021-01-13,31.8741,trailing_stop,12.64,27.0015,0.0
MS,BUY,0.66,2021-01-06,2021-01-07,63.4185,2021-01-13,64.1928,trailing_stop,1.22,60.3215,0.0
GS,BUY,0.6513,2021-01-05,2021-01-06,245.3456,2021-01-14,273.3886,pre_earnings,11.43,233.1812,0.0
IBKR,BUY,0.6934,2021-01-06,2021-01-07,16.4214,2021-01-14,16.7009,pre_earnings,1.7,15.4587,0.0
NRG,BUY,0.7048,2021-01-11,2021-01-12,34.2907,2021-01-14,34.7527,trailing_stop,1.35,32.443,0.0
PTC,BUY,0.6875,2021-01-11,2021-01-12,130.11,2021-01-14,123.7029,sl_hit,-4.92,123.7029,0.0
GME,BUY,0.7414,2021-01-13,2021-01-14,9.5225,2021-01-14,8.9512,sl_hit,-6.0,8.9512,0.0
ADI,BUY,0.6892,2021-01-08,2021-01-11,143.0733,2021-01-15,144.6203,trailing_stop,1.08,136.8852,0.0
APTV,BUY,0.779,2021-01-13,2021-01-14,146.67,2021-01-15,137.8698,sl_hit,-6.0,137.8698,0.0
WBD,BUY,0.6523,2021-01-05,2021-01-06,32.42,2021-01-19,36.6043,trailing_stop,12.91,30.5843,0.0
SCCO,BUY,0.7081,2021-01-07,2021-01-08,54.527,2021-01-19,54.3813,pre_earnings,-0.27,51.8786,0.0
ALLY,BUY,0.7291,2021-01-14,2021-01-15,34.205,2021-01-19,34.9414,pre_earnings,2.15,32.1527,0.0
GME,BUY,0.7802,2021-01-15,2021-01-19,10.3875,2021-01-19,9.7642,sl_hit,-6.0,9.7642,0.0
ON,BUY,0.7539,2021-01-14,2021-01-15,37.85,2021-01-20,38.3718,trailing_stop,1.38,35.7629,0.0
MSTR,BUY,0.7223,2021-01-14,2021-01-15,60.71,2021-01-20,57.0674,sl_hit,-6.0,57.0674,0.0
CELH,BUY,0.6878,2021-01-04,2021-01-05,16.26,2021-01-21,21.8362,trailing_stop,34.29,15.2844,0.0
UTHR,BUY,0.7467,2021-01-11,2021-01-12,168.62,2021-01-21,170.9186,trailing_stop,1.36,159.4257,0.0
DD,BUY,0.7673,2021-01-14,2021-01-15,31.1362,2021-01-21,31.6504,trailing_stop,1.65,29.268,0.0
JEF,BUY,0.6995,2021-01-06,2021-01-07,21.8511,2021-01-22,20.681,sl_hit,-5.36,20.681,0.0
GME,BUY,0.7414,2021-01-21,2021-01-22,10.6475,2021-01-22,17.2577,trailing_stop,62.08,10.0087,0.0
