month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2024-02,8.7191,5.2454,3.4736,COIN|CVNA|MSTR|CEG|STRL|CELH|FIX|SFM|VST|MOD|HOOD|IRM|NTRA|DELL|AXON|OKTA|BWXT|ONON|H|WING|PSTG|APP|NU|XYZ|PWR|NCLH|AMD|RBA|NTNX|TOL|CRH|SPXC|FND|PR|VRT|DKS|VMC|ALSN|CNM|WSM|TOST|ONTO|TTD|GE|CART|WFC|HUBB|URI|GEHC|MU|RNA|FIS|CPNG|VNT|CRM|AMAT|EFX|FANG|PLTR|DASH|SPOT|ATI|SOFI|TSCO|HWM|OVV|CAVA|BLDR|MAS|STLD|SHW|FERG|SGI|PRAX|GRMN|CAT|JXN|PKG|TLN|SAIA|NVT|TXRH|NVDA|DCI|CRL|RRX|EBAY|UBER|WDC|NFLX|ECL|SMH|LDOS|GTES|DECK|ETN|IBKR|W|MLI|KMX
2024-03,-3.403,-4.6626,1.2597,MU|LNC|WDC|FTAI|DPZ|PRAX|HOOD|GM|DAL|AL|EHC|GTLS|STLD|CEG|MKSI|AR|FDX|ALL|MSTR|MHK|DIS|WSM|SCCO|KEX|C|SMTC|CTAS|PHM|NVT|FIS|LEN|TOL|VST|TMHC|EQH|WING|ALSN|TLN|PR|OSK|VNOM|EMN|PSX|MPC|PRIM|GKOS|PWR|GAP|TGT|SN|DKS|NRG|MRK|CNM|MASI|JXN|THC|VRT|CVNA|MTG|COIN|COF|W|TEX|CMI|FANG|WTFC|CAT|TTD|TIGO|TOST|UMBF|FLR|CINF|WWD|RKT|FISV|DASH|KEY|TRGP|CDE|CI|CHRD|ALLY|ALK|OWL|RF|PCAR|FTI|SNX|GE|CAVA|SPXC|UHS|DHI|MKC|BURL|RCL|RRC|EAT
2024-04,6.3245,4.8009,1.5236,VRT|KEX|RCAT|AR|ATI|WAB|CRS|SMTC|EAT|THC|CMG|VST|OKLO|HAS|CAVA|DPZ|AAON|LDOS|RMD|TSCO|SCCO|WFRD|TT|APH|CARR|RVMD|BALL|ZBRA|SATS|TER|WING|GOLD|WWD|TYL|PRIM|CVNA|BSX|AVAV|TLN|DAL|NEM|GE|DELL|TXRH|FCX|EQT|SYF|LLY|QRVO|OMF|PRAX|QXO|DOV|MMM|MTSI|MCHP|KDP|GOOG|AXON|CPNG|PEG|SFM|CTRE|GOOGL|UAL|TTEK|HWM|MOD|SNX|IBKR|SF|RCL|IOT|GNRC|JXN|PWR|NRG|CL|GS|CDE|ETN|KLAC|TXN|WELL|MPWR|NTRA|TOST|EHC|OWL|IR|ONTO|AXP|PYPL|NVDA|MLI|SN|TIGO|ATR|WDC|KMB
2024-05,-2.467,-0.1253,-2.3417,QXO|DECK|GAP|NVDA|INSM|CRDO|DKS|ONON|HOOD|BURL|HPQ|FSLR|EAT|BJ|CAVA|LNC|AA|ASTS|FLEX|PAAS|PRIM|CDE|IP|BE|NTAP|FTAI|VST|SATS|FLR|TIGO|THC|QCOM|ELAN|KTOS|AR|KEX|NXT|BBY|GKOS|RL|WWD|UHS|SW|AXS|ADI|NEE|GLW|AVAV|NYT|TER|TLN|HWM|GH|OLLI|AES|SNX|CHRD|TXRH|HCA|SN|LPLA|DD|EQH|TKO|GDDY|CRS|GMED|FOX|PEG|OC|ATI|HL|MSTR|GNRC|FOXA|WELL|COIN|VTR|NWSA|VAL|CRUS|TRGP|MTZ|SO|WMB|EBAY|TTWO|TMUS|APP|RCL|D|PSTG|SLV|BAC|ACGL|DTM|RTX|WDC|IBKR|FCX
2024-06,2.2564,5.1314,-2.8749,CVNA|FTAI|BROS|RNA|ALNY|ANET|CRDO|SFM|PANW|JEF|NU|MTSI|FORM|PLTR|ASTS|APLD|RCAT|FDX|CCL|SYF|OLLI|TRGP|GKOS|RIVN|IONS|HALO|AAON|RCL|EAT|AU|APP|CRUS|NOW|LLY|ADBE|GWRE|DDOG|WING|CRS|DTM|T|COHR|INTU|SF|CRWD|ISRG|LNG|RDDT|NTAP|BKR|TYL|WFRD|GMED|TSM|TIGO|TTMI|MPWR|LRCX|OHI|GOOG|HPE|GOOGL|INSM|IRM|MOD|PCVX|CAVA|AMZN|TSLA|MANH|TOST|FHN|PINS|KLAC|HWC|LITE|FTI|HOOD|HQY|ORCL|AVB|ESI|TER|TFC|PLNT|BURL|AXSM|FANG|AAPL|C|ZS|WMB|AMAT|RF|DLR|HLT|GEN|VTR|NET|AVGO
2024-07,2.1027,2.3901,-0.2874,ASTS|HWM|UHS|CRS|SFM|MMM|TOL|MLI|MHK|PHM|TPG|RKT|TYL|WAL|ALSN|CBRE|JXN|KKR|DHI|ATI|THC|EWBC|FFIV|MTG|COLB|TRU|RTX|LMT|SSB|FTI|MOD|SWK|HCA|AVTR|UMBF|LUMN|SPOT|JEF|RVTY|SSNC|IT|LEN|EFX|BURL|CG|BKR|HIG|IRM|ORI|CHTR|GH|SHW|URI|ARES|BX|PRIM|GWRE|ALLY|MAS|ABBV|JHG|PNR|NDAQ|BPOP|CFG|FTAI|FITB|GS|CRH|TFC|KTOS|ALLE|TMHC|EHC|AXS|FBIN|PEG|WMS|OC|BRO|UNM|PM|BAM|NOW|BXP|DHR|VLTO|AON|BRX|RPM|SCI|GBCI|SANM|WTW|AJG|AMT|RBRK|GTES|MANH|ORLY
2024-08,1.7489,2.6793,-0.9304,AFRM|BBY|SMTC|FTAI|NTNX|RMD|ONON|NU|PGR|MOD|SN|TLN|APP|HALO|PANW|VEEV|VTR|PNFP|SPXC|USB|AVAV|GBCI|COMP|OKE|MMM|RF|ACGL|SFM|MRVL|AFL|KEY|VFC|ALSN|NEM|CPAY|COO|GM|PNC|CIEN|BRK-B|ALL|THC|MLI|UHS|CRDO|CTRE|SOFI|CARR|GKOS|AAON|BXP|CAVA|MAA|FIX|MSI|GDDY|RBLX|WMT|GEV|CRUS|EFX|JEF|SYF|JXN|STT|WDAY|HCA|PSA|MTG|AXS|OHI|TRGP|CLX|RTX|CRH|FIS|HWC|RBA|FISV|AMCR|COLB|EPRT|UMBF|VNOM|MPWR|IBKR|IBM|MO|NDAQ|CWAN|LLY|WAL|TXN|SHW|ISRG|EXR|CINF|SSB|PKG|TT
2024-09,1.8176,0.1856,1.632,VST|MSTR|RKLB|MOD|CEG|LITE|VRT|CAT|APP|SCCO|NRG|APLD|MASI|COHR|UAL|VFC|MP|FIX|TSLA|GWRE|TPR|CRS|FCX|CVNA|JCI|EMN|LVS|ALSN|AAON|ZWS|FLUT|GNRC|DASH|AA|RL|SN|ITT|FND|CHRW|AES|DAL|PWR|LYV|FBIN|URI|BBY|ZBRA|AOS|AS|ALK|CIEN|IONQ|SWK|CART|WAT|IBKR|FTAI|TOST|HD|PNR|EXPE|OTIS|ORCL|DOCU|GEHC|PEG|FLS|WYNN|CMI|STRL|ATI|DD|PYPL|RNA|BWXT|LOW|EBAY|MTZ|AXON|TLN|LUMN|PH|HPE|SFM|WAB|TT|META|HOOD|AMD|RVMD|FOXA|SPOT|CDE|FSLR|HL|A|CBRE|MLI|OWL|JXN
2024-10,14.023,9.4803,4.5427,GRMN|RBLX|XPO|EXEL|OKLO|IP|CVNA|GBCI|TTMI|MSTR|BAH|EAT|LDOS|SW|RVMD|DLR|ETR|UAL|SAIA|INCY|RDDT|TWLO|APP|SFM|ALSN|VFC|WCC|FFIV|DAL|NCLH|CCL|PAYC|ALK|MLI|LNC|PEN|RJF|CTRE|EWBC|COF|TXRH|GTES|AAON|RBRK|SOFI|LPLA|AME|COMP|DTM|RCL|TPR|BAM|GEN|AAL|NU|MO|ZM|JHG|COLB|DASH|CFLT|OMF|CRH|IBKR|RMBS|TTD|PNFP|WELL|PM|SCI|CART|ZBRA|FAST|IONQ|GEV|ABBV|AFRM|TPG|PRIM|VMC|UNM|TOST|NFLX|SF|BMY|GLW|TLN|BX|NTRS|UMBF|VNT|PKG|TRGP|WMB|JXN|MTB|WFC|AHR|AG|SPOT
2024-11,-4.0892,-5.9983,1.909,APLD|QBTS|SMTC|RCAT|RKLB|IONQ|AFRM|UGI|DDOG|CRS|TPR|DE|AS|HOOD|GME|COMP|SOFI|ONON|DECK|Z|RL|MP|CNH|CRDO|NRG|AXS|WSM|GH|CPRT|PLTR|FTI|WMT|ONB|APO|APP|EAT|PRAX|BJ|COF|BE|SFM|JEF|KKR|DLR|FHN|CVNA|AHR|TOL|GTLS|GTES|SAIA|OC|BROS|FLUT|MASI|FIX|TOST|WTFC|NTRA|AXON|EWBC|AXP|TMUS|HD|GDDY|DASH|PNFP|RJF|KTOS|EQIX|TKO|CBRE|EXEL|SYF|BNTX|CINF|ETR|OMF|ACM|UNM|SNOW|WDC|RCL|USB|PNC|EMR|TXRH|WFC|RBRK|RBA|USFD|BK|ZION|FWONK|LYV|CMI|UAL|TTMI|HBAN|WBS
2024-12,6.2012,4.9299,1.2714,RCAT|QBTS|AR|GME|IONQ|AVGO|AAL|EQT|DRI|TPR|GKOS|DKS|VRSN|RRC|EXE|ALK|JBL|CIEN|PRAX|WSM|RL|KMI|PLTR|LNG|ULTA|ALAB|EAT|AS|UGI|NBIX|FOXA|FOX|MRVL|TKO|ANET|GTLS|JEF|FWONK|LUV|EXPE|GM|RKLB|TWLO|LULU|UAL|CRDO|DECK|ETR|FTAI|LPLA|RBLX|BA|PLNT|FHN|OKLO|FLEX|SEIC|HQY|CSCO|UNM|GL|BROS|MS|GMED|AAPL|C|GOOGL|AHR|BURL|TTMI|EQH|TTWO|OLLI|STT|V|GOOG|JPM|TSLA|ARES|M|CTRA|NFLX|PSTG|WMB|KR|NET|GILD|AMZN|NI|FTNT|SGI|GS|SW|DTM|TSM|FFIV|DOCU|CNM|DIS|HOOD
