ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
AG,BUY,2017-12-18,2017-12-19,7.4546,2017-12-22,6.9299,sl_hit,-7.04,6.9299,0.0
WPM,BUY,2017-12-13,2017-12-14,19.4645,2018-01-25,19.862,timeout_30d,2.04,18.4994,0.0
KLAC,BUY,2017-12-18,2017-12-19,98.1374,2018-01-30,96.7317,timeout_30d,-1.43,91.7755,0.0
MU,BUY,2017-12-18,2017-12-19,43.0185,2018-01-30,40.6573,timeout_30d,-5.49,39.2077,0.0
FANG,BUY,2017-12-20,2017-12-21,91.2556,2018-01-30,97.8004,trailing_stop,7.17,87.1075,0.0
TSM,BUY,2018-01-02,2018-01-03,34.3187,2018-01-30,37.1867,trailing_stop,8.36,33.4912,0.0
MRVL,BUY,2017-12-19,2017-12-20,21.3891,2018-01-31,22.1894,timeout_30d,3.74,20.3565,0.0
HWM,BUY,2017-12-18,2017-12-19,19.0711,2018-02-02,21.9266,trailing_stop,14.97,18.2507,0.0
NEM,BUY,2017-12-26,2017-12-27,29.8421,2018-02-02,31.5246,trailing_stop,5.64,28.6263,0.0
FCX,BUY,2018-01-25,2018-01-26,17.8247,2018-02-02,16.6627,sl_hit,-6.52,16.6627,0.0
NVDA,BUY,2017-12-20,2017-12-21,4.869,2018-02-05,5.6931,trailing_stop,16.93,4.5559,0.0
VRTX,BUY,2017-12-21,2017-12-22,148.2,2018-02-05,163.5557,trailing_stop,10.36,140.5971,0.0
AMD,BUY,2018-01-30,2018-01-31,13.24,2018-02-05,12.3243,sl_hit,-6.92,12.3243,0.0
TSM,BUY,2018-01-31,2018-02-01,37.4048,2018-02-05,35.8676,sl_hit,-4.11,35.8676,0.0
GILD,BUY,2018-01-31,2018-02-01,61.5902,2018-02-05,58.5033,sl_hit,-5.01,58.5033,0.0
ABBV,BUY,2018-01-30,2018-01-31,82.4737,2018-02-06,77.3819,sl_hit,-6.17,77.3819,0.0
LRCX,BUY,2018-02-26,2018-02-27,17.683,2018-03-02,16.2844,sl_hit,-7.91,16.2844,0.0
FCX,BUY,2018-02-23,2018-02-26,17.7343,2018-03-08,16.0901,sl_hit,-9.27,16.0901,0.0
KLAC,BUY,2018-03-02,2018-03-05,100.1278,2018-03-22,100.6536,trailing_stop,0.53,93.7503,0.0
MU,BUY,2018-02-16,2018-02-20,42.9502,2018-03-23,55.1004,trailing_stop,28.29,38.4313,0.0
MRVL,BUY,2018-02-20,2018-02-21,22.1323,2018-03-23,20.5875,sl_hit,-6.98,20.5875,0.0
NVDA,BUY,2018-02-12,2018-02-13,5.6012,2018-03-27,5.579,timeout_30d,-0.4,5.0088,0.0
LRCX,STRONG_BUY,2018-03-08,2018-03-09,19.1707,2018-03-28,17.8825,sl_hit,-6.72,17.8825,0.0
NOC,BUY,2018-02-14,2018-02-15,309.8219,2018-03-29,307.421,timeout_30d,-0.77,289.3562,0.0
HII,BUY,2018-02-15,2018-02-16,219.1765,2018-04-02,215.4083,timeout_30d,-1.72,204.6116,0.0
NEM,BUY,2018-02-15,2018-02-16,31.0479,2018-04-02,31.2636,timeout_30d,0.69,29.3752,0.0
VRTX,BUY,2018-02-20,2018-02-21,160.63,2018-04-04,162.12,timeout_30d,0.93,147.4329,0.0
