ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
VRT,BUY,2019-12-11,2019-12-12,11.0462,2019-12-12,11.1297,trailing_stop,0.76,10.8365,0.0
DAR,BUY,2019-12-12,2019-12-13,25.27,2019-12-16,25.27,trailing_stop,0.0,24.5,0.0
TSLA,BUY,2019-12-16,2019-12-17,25.266,2019-12-30,27.807,trailing_stop,10.06,24.0523,0.0
SCCO,BUY,2019-12-13,2019-12-16,31.1891,2020-01-03,31.1891,trailing_stop,0.0,29.9313,0.0
SWKS,BUY,2019-12-11,2019-12-12,93.5125,2020-01-06,102.1499,trailing_stop,9.24,89.2573,0.0
CMC,BUY,2019-12-12,2019-12-13,20.3753,2020-01-06,19.4326,sl_hit,-4.63,19.4326,0.0
SW,BUY,2019-12-16,2019-12-17,29.5757,2020-01-07,29.7733,trailing_stop,0.67,29.0426,0.0
SPXC,BUY,2019-12-09,2019-12-10,49.95,2020-01-08,49.95,trailing_stop,0.0,47.9686,0.0
BWXT,BUY,2020-01-06,2020-01-07,60.4468,2020-01-10,60.4468,trailing_stop,0.0,58.6206,0.0
CRL,BUY,2020-01-10,2020-01-13,159.0,2020-01-15,159.0,trailing_stop,0.0,154.5671,0.0
TSLA,BUY,2020-01-03,2020-01-06,29.3647,2020-01-16,34.4826,trailing_stop,17.43,27.3532,0.0
STT,BUY,2019-12-11,2019-12-12,64.1894,2020-01-21,67.841,trailing_stop,5.69,61.8434,0.0
SNX,BUY,2020-01-10,2020-01-13,68.5637,2020-01-21,68.5637,trailing_stop,0.0,65.6212,0.0
TKR,BUY,2019-12-13,2019-12-16,51.2639,2020-01-22,51.2639,trailing_stop,0.0,49.0675,0.0
BMRN,BUY,2020-01-10,2020-01-13,89.8,2020-01-23,86.18,sl_hit,-4.03,86.18,0.0
BLK,BUY,2020-01-16,2020-01-17,464.4822,2020-01-24,464.4822,trailing_stop,0.0,452.1184,0.0
COO,BUY,2020-01-21,2020-01-22,90.4166,2020-01-24,87.8555,sl_hit,-2.83,87.8555,0.0
CG,BUY,2020-01-02,2020-01-03,26.1902,2020-01-27,27.1881,trailing_stop,3.81,25.0374,0.0
V,BUY,2020-01-21,2020-01-22,198.4865,2020-01-27,191.3031,sl_hit,-3.62,193.3036,0.0
BX,BUY,2020-01-23,2020-01-24,51.5714,2020-01-27,48.1441,sl_hit,-6.65,49.5888,0.0
CELH,BUY,2020-01-22,2020-01-23,1.9233,2020-01-28,1.9233,trailing_stop,0.0,1.7695,0.0
DAR,BUY,2019-12-17,2019-12-18,27.1,2020-01-30,28.3004,trailing_stop,4.43,26.0843,0.0
WAL,BUY,2019-12-12,2019-12-13,48.9928,2020-01-31,49.3142,trailing_stop,0.66,47.4,0.0
TSLA,BUY,2020-01-30,2020-01-31,42.6667,2020-02-04,60.6971,trailing_stop,42.26,39.2533,0.0
SMCI,STRONG_BUY,2020-01-15,2020-01-16,2.85,2020-02-06,2.85,trailing_stop,0.0,2.6477,0.0
VRT,BUY,2020-01-24,2020-01-27,11.7727,2020-02-06,12.9347,trailing_stop,9.87,11.233,0.0
WTW,BUY,2020-01-28,2020-01-29,196.5932,2020-02-06,191.9612,sl_hit,-2.36,191.9612,0.0
WMS,BUY,2020-02-06,2020-02-07,45.277,2020-02-07,45.277,trailing_stop,0.0,43.1329,0.0
CRM,BUY,2020-01-08,2020-01-09,176.6931,2020-02-20,191.0388,pre_earnings,8.12,170.8738,0.0
TXRH,BUY,2020-01-27,2020-01-28,57.3284,2020-02-24,63.7803,trailing_stop,11.25,55.0502,0.0
TROW,BUY,2020-01-29,2020-01-30,103.1276,2020-02-24,103.1276,trailing_stop,0.0,99.0817,0.0
CYTK,BUY,2020-02-07,2020-02-10,14.58,2020-02-24,15.1021,trailing_stop,3.58,13.4136,0.0
CRL,BUY,2020-02-11,2020-02-12,173.33,2020-02-24,173.33,trailing_stop,0.0,165.6071,0.0
Z,STRONG_BUY,2020-02-20,2020-02-21,63.16,2020-02-24,63.16,trailing_stop,0.0,58.382,0.0
BRO,BUY,2020-01-28,2020-01-29,42.9816,2020-02-25,45.0578,trailing_stop,4.83,41.6871,0.0
TYL,BUY,2020-01-31,2020-02-03,325.68,2020-02-25,326.2285,trailing_stop,0.17,315.9657,0.0
XEL,BUY,2020-02-06,2020-02-07,57.7755,2020-02-25,57.8907,trailing_stop,0.2,56.3834,0.0
TSLA,STRONG_BUY,2020-02-05,2020-02-06,46.6613,2020-02-26,53.0409,trailing_stop,13.67,42.9284,0.0
D,BUY,2020-02-24,2020-02-25,69.1445,2020-02-26,67.115,sl_hit,-2.94,67.115,0.0
TEAM,BUY,2020-01-24,2020-01-27,143.5,2020-02-27,143.5,trailing_stop,0.0,134.1334,0.0
SCI,BUY,2020-02-24,2020-02-25,47.179,2020-02-27,45.1897,sl_hit,-4.22,45.1897,0.0
CCI,BUY,2020-02-24,2020-02-25,128.492,2020-02-27,114.4082,sl_hit,-10.96,123.7648,0.0
SUI,BUY,2020-02-25,2020-02-26,140.945,2020-02-27,136.2217,sl_hit,-3.35,136.3567,0.0
HPQ,BUY,2020-02-25,2020-02-26,19.1163,2020-02-27,18.1076,sl_hit,-5.28,18.2877,0.0
ZM,BUY,2020-02-24,2020-02-25,108.52,2020-02-28,105.0,pre_earnings,-3.24,99.8384,0.0
DPZ,STRONG_BUY,2020-02-25,2020-02-26,346.1295,2020-02-28,317.4894,sl_hit,-8.27,320.1355,0.0
ZM,BUY,2020-03-04,2020-03-05,110.25,2020-03-09,101.43,sl_hit,-8.0,101.43,0.0
TT,BUY,2020-03-04,2020-03-05,105.2,2020-03-09,97.5104,sl_hit,-7.31,97.5104,0.0
CELH,STRONG_BUY,2020-05-26,2020-05-27,3.1033,2020-05-29,2.8467,sl_hit,-8.27,2.8551,0.0
TW,BUY,2020-05-29,2020-06-01,64.2448,2020-06-03,64.2448,trailing_stop,0.0,59.1052,0.0
ZM,BUY,2020-06-02,2020-06-03,211.7,2020-06-04,211.7,trailing_stop,0.0,194.764,0.0
CRWD,BUY,2020-06-02,2020-06-03,99.98,2020-06-04,91.9816,sl_hit,-8.0,91.9816,0.0
CHRD,BUY,2020-06-08,2020-06-09,1.0315,2020-06-09,0.949,sl_hit,-8.0,0.949,0.0
RRC,BUY,2020-06-08,2020-06-09,7.4066,2020-06-10,6.8141,sl_hit,-8.0,6.8141,0.0
SWKS,BUY,2020-06-05,2020-06-08,119.5932,2020-06-11,111.064,sl_hit,-7.13,111.064,0.0
CRWD,BUY,2020-06-05,2020-06-08,93.87,2020-06-12,93.87,trailing_stop,0.0,86.3604,0.0
TSLA,BUY,2020-06-10,2020-06-11,66.0133,2020-06-12,60.9434,sl_hit,-7.68,60.9434,0.0
SMCI,BUY,2020-06-15,2020-06-16,3.153,2020-06-22,3.153,trailing_stop,0.0,2.9019,0.0
CYTK,BUY,2020-06-22,2020-06-23,24.87,2020-07-01,22.8804,sl_hit,-8.0,22.8804,0.0
TSLA,BUY,2020-06-15,2020-06-16,67.4567,2020-07-13,113.2285,trailing_stop,67.85,62.0601,0.0
XYZ,BUY,2020-06-22,2020-06-23,105.0,2020-07-13,121.3918,trailing_stop,15.61,96.6,0.0
TTD,BUY,2020-07-06,2020-07-07,44.5,2020-07-13,44.5,trailing_stop,0.0,40.94,0.0
SPOT,BUY,2020-06-18,2020-06-19,234.5,2020-07-15,259.1675,trailing_stop,10.52,215.74,0.0
ZS,BUY,2020-05-29,2020-06-01,96.8,2020-07-16,119.2026,trailing_stop,23.14,89.056,0.0
TER,BUY,2020-06-19,2020-06-22,81.077,2020-07-16,84.166,pre_earnings,3.81,74.5909,0.0
CYTK,BUY,2020-07-14,2020-07-15,28.99,2020-07-16,26.6708,sl_hit,-8.0,26.6708,0.0
