month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2019-02,2.1029,2.1029,-0.0,AG|BA|LLY|MRNA|KLAC|REGN|TDG|INTC|WPM|MRVL|AMD|EQIX|VRTX|SMH|FCX|LHX|XLK|XOM|DVN|AMT|IBB|XAR|LMT|AVGO|LRCX|CVX|QQQ|NOC|DIA|IWM|TSM|ASML|BIIB|GDX|RTX|XLV|MU|AMGN|BMY|QCOM|GOLD|DLR|XLF|COP|XLE|VRT|ON|SLV|NVDA|NEM|FANG|HWM|OXY|AMAT|HII|SLB|ABBV|GD|GILD|HAL|EOG|RIG|PAAS|HL|RCAT
2019-03,3.9025,3.9025,0.0,AVGO|AMT|TDG|DVN|WPM|LLY|AMD|EQIX|NVDA|NEM|XLK|DLR|RTX|KLAC|FCX|QQQ|TSM|XOM|REGN|INTC|SMH|BA|LRCX|IBB|MRVL|DIA|XAR|XLE|ASML|CVX|QCOM|HWM|MU|XLV|IWM|VRTX|OXY|EOG|LHX|LMT|MRNA|AMAT|SLB|GDX|AMGN|COP|VRT|HII|GD|GILD|XLF|HAL|AG|RIG|FANG|NOC|ABBV|SLV|PAAS|ON|RCAT|GOLD|BMY|HL|BIIB
2019-04,-8.7666,-8.7666,0.0,QCOM|LRCX|KLAC|MRNA|ASML|RTX|MRVL|TDG|HWM|AVGO|LMT|ON|AMD|SMH|XLK|AMAT|XLF|QQQ|AMT|TSM|XAR|EQIX|LHX|DIA|NOC|IWM|HII|GD|BA|VRT|DLR|RCAT|XLV|MU|XOM|DVN|GILD|AG|ABBV|CVX|BMY|FANG|SLV|WPM|XLE|NVDA|LLY|IBB|GOLD|GDX|AMGN|PAAS|FCX|INTC|EOG|COP|BIIB|VRTX|REGN|SLB|NEM|HL|HAL|OXY|RIG
2019-05,9.3852,9.3852,0.0,AMT|WPM|AMD|LHX|NEM|GDX|EQIX|LMT|HWM|AG|NOC|DLR|MRVL|XAR|VRT|GOLD|LLY|SLV|TDG|HII|XLV|QCOM|XLK|ASML|DIA|XLF|QQQ|TSM|VRTX|RTX|CVX|PAAS|AMGN|ABBV|KLAC|AMAT|IWM|GD|GILD|BMY|BA|COP|IBB|SMH|LRCX|INTC|AVGO|XOM|RCAT|REGN|FANG|MRNA|BIIB|XLE|ON|FCX|OXY|NVDA|HL|EOG|MU|SLB|HAL|RIG|DVN
2019-06,1.6098,1.6098,-0.0,HWM|AG|QCOM|AMAT|GDX|AMD|NEM|ASML|LMT|KLAC|AVGO|SMH|NOC|MU|XAR|GD|GOLD|WPM|LRCX|HII|MRVL|NVDA|ON|VRTX|FANG|TDG|XLK|PAAS|XLF|EQIX|FCX|SLB|EOG|QQQ|CVX|TSM|LHX|DIA|IBB|IWM|RTX|DVN|XLV|AMGN|XLE|SLV|GILD|INTC|BA|XOM|COP|VRT|AMT|HL|BIIB|DLR|RIG|HAL|REGN|RCAT|LLY|OXY|BMY|MRNA|ABBV
2019-07,-0.6151,-0.6151,0.0,LHX|NOC|KLAC|RCAT|AMT|AG|WPM|AMAT|LRCX|AMGN|PAAS|GOLD|MRVL|GDX|SLV|XAR|MU|ASML|LMT|HWM|EQIX|GD|ON|XLK|TDG|SMH|XLF|TSM|INTC|RTX|IWM|QQQ|VRT|DIA|HII|XLV|CVX|AMD|AVGO|IBB|LLY|SLB|BMY|BIIB|NEM|XLE|GILD|FANG|XOM|NVDA|QCOM|OXY|DLR|DVN|HL|COP|REGN|FCX|RIG|HAL|EOG|VRTX|ABBV|BA|MRNA
2019-08,-0.0238,-0.0238,0.0,KLAC|WPM|PAAS|SLV|TDG|QCOM|AG|AMGN|GDX|LRCX|HWM|NEM|ASML|AMAT|AMT|AMD|MU|NOC|EQIX|GD|LMT|BA|MRNA|LHX|XAR|SMH|AVGO|TSM|NVDA|HL|DLR|XLK|RTX|GOLD|BMY|QQQ|DIA|INTC|LLY|XLF|XLV|CVX|VRT|FANG|MRVL|HII|VRTX|RCAT|IWM|GILD|IBB|XLE|XOM|ON|ABBV|RIG|COP|FCX|REGN|HAL|EOG|OXY|SLB|DVN|BIIB
2019-09,3.8367,3.8367,0.0,KLAC|TSM|ASML|EQIX|DLR|LRCX|NOC|ABBV|LMT|INTC|BMY|BA|TDG|LHX|MRVL|AMAT|AMT|RTX|SMH|XLK|XLF|DIA|QCOM|VRT|HWM|XAR|QQQ|NVDA|LLY|ON|XLV|AMGN|WPM|NEM|SLV|AG|GDX|HII|IWM|PAAS|BIIB|GD|MRNA|XOM|AVGO|CVX|XLE|GILD|COP|GOLD|OXY|VRTX|HL|MU|AMD|IBB|DVN|SLB|FCX|REGN|HAL|EOG|FANG|RCAT|RIG
2019-10,4.1466,4.5486,-0.402,LRCX|AMD|BIIB|HL|BMY|INTC|TSM|KLAC|AG|AMGN|ABBV|WPM|SMH|NVDA|MRNA|AMAT|ON|ASML|VRTX|PAAS|QCOM|HWM|HII|MU|AVGO|NEM|RTX|TDG|SLV|XLK|LLY|GDX|XLV|QQQ|IBB|XLF|EQIX|LHX|IWM|MRVL|LMT|XAR|FCX|DIA|REGN|NOC|GD|VRT|RIG|CVX|AMT|DLR|COP|XLE|GILD|HAL|FANG|XOM|BA|SLB|GOLD|EOG|OXY|DVN|RCAT
2019-11,7.0245,7.0245,-0.0,VRTX|REGN|IBB|NVDA|PAAS|HWM|MRNA|AMGN|HL|AMD|BIIB|FCX|AMAT|ABBV|HII|AVGO|ASML|ON|XLK|TSM|SMH|BNTX|INTC|QQQ|XLV|TDG|MRVL|GILD|RTX|MU|AG|XLF|IWM|COP|LLY|EQIX|LRCX|BMY|LMT|DIA|SLB|XAR|WPM|RIG|HAL|BA|NOC|NEM|KLAC|LHX|QCOM|GDX|AMT|DLR|VRT|RCAT|GD|SLV|CVX|XLE|XOM|DVN|EOG|FANG|OXY|GOLD
