ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
AAON,BUY,2021-12-08,2021-12-09,54.2446,2021-12-10,51.9332,sl_hit,-4.26,51.9332,0.0
EIX,BUY,2021-12-06,2021-12-07,55.6519,2021-12-20,53.7555,sl_hit,-3.41,53.7555,0.0
TOL,BUY,2021-12-07,2021-12-08,68.0641,2021-12-20,64.1455,sl_hit,-5.76,64.1455,0.0
RMBS,BUY,2021-12-08,2021-12-09,29.1,2021-12-20,26.93,sl_hit,-7.46,26.93,0.0
PFE,BUY,2021-12-20,2021-12-21,48.0564,2022-01-04,44.2119,sl_hit,-8.0,44.2119,0.0
PSTG,BUY,2021-12-07,2021-12-08,33.5,2022-01-05,30.82,sl_hit,-8.0,30.82,0.0
REXR,BUY,2021-12-07,2021-12-08,65.6439,2022-01-07,66.6111,trailing_stop,1.47,62.7774,0.0
MRVL,BUY,2021-12-06,2021-12-07,85.996,2022-01-10,79.1163,sl_hit,-8.0,79.1163,0.0
FR,BUY,2021-12-07,2021-12-08,56.4489,2022-01-10,54.3123,sl_hit,-3.79,54.3123,0.0
PLD,BUY,2021-12-07,2021-12-08,140.6425,2022-01-10,134.0332,sl_hit,-4.7,134.0332,0.0
AVGO,BUY,2021-12-20,2021-12-21,60.0348,2022-01-10,56.0667,sl_hit,-6.61,56.0667,0.0
HPQ,BUY,2021-12-06,2021-12-07,32.3026,2022-01-19,31.6964,timeout_30d,-1.88,29.9077,0.0
CIEN,BUY,2021-12-10,2021-12-13,73.1,2022-01-19,68.2414,sl_hit,-6.65,68.2414,0.0
F,BUY,2022-01-04,2022-01-05,18.1509,2022-01-19,16.9352,sl_hit,-6.7,16.9352,0.0
KEY,BUY,2022-01-10,2022-01-11,21.5804,2022-01-20,20.5838,sl_hit,-4.62,20.5838,0.0
MTB,BUY,2022-01-10,2022-01-11,156.517,2022-01-20,148.9955,sl_hit,-4.81,148.9955,0.0
BRK-B,BUY,2022-01-10,2022-01-11,318.61,2022-01-21,309.99,sl_hit,-2.71,310.3571,0.0
LITE,BUY,2021-12-20,2021-12-21,103.88,2022-01-24,95.86,sl_hit,-7.72,96.746,0.0
TSN,BUY,2022-01-07,2022-01-10,80.4718,2022-01-24,78.287,sl_hit,-2.71,78.287,0.0
MCK,BUY,2022-01-11,2022-01-12,249.3905,2022-01-24,239.3698,sl_hit,-4.02,240.1199,0.0
COP,BUY,2022-01-19,2022-01-20,74.3038,2022-01-24,69.6841,sl_hit,-6.22,70.1176,0.0
EOG,BUY,2022-01-19,2022-01-20,86.1231,2022-01-24,80.5901,sl_hit,-6.42,80.5901,0.0
ATI,BUY,2022-01-19,2022-01-20,20.58,2022-01-25,19.0914,sl_hit,-7.23,19.0914,0.0
HSY,BUY,2022-01-20,2022-01-21,182.0991,2022-01-25,176.5955,sl_hit,-3.02,176.5955,0.0
PGR,BUY,2022-01-10,2022-01-11,100.5046,2022-01-26,97.2414,sl_hit,-3.25,97.2414,0.0
VRTX,BUY,2022-01-31,2022-02-01,242.39,2022-02-14,230.33,sl_hit,-4.98,230.33,0.0
MKC,BUY,2022-02-02,2022-02-03,93.4501,2022-02-18,88.9229,sl_hit,-4.84,88.9229,0.0
NI,BUY,2022-02-02,2022-02-03,25.6895,2022-02-23,24.5266,sl_hit,-4.53,24.5266,0.0
XOM,BUY,2022-01-20,2022-01-21,63.0682,2022-02-24,66.4272,trailing_stop,5.33,60.1122,0.0
LMT,BUY,2022-01-28,2022-01-31,350.6754,2022-03-08,406.5833,trailing_stop,15.94,335.005,0.0
AA,BUY,2022-02-15,2022-02-16,71.7948,2022-03-11,75.8186,trailing_stop,5.6,66.0512,0.0
HAL,BUY,2022-01-28,2022-01-31,28.5514,2022-03-15,32.2126,trailing_stop,12.82,26.2673,0.0
SLB,BUY,2022-01-28,2022-01-31,35.6455,2022-03-15,36.7123,trailing_stop,2.99,32.7938,0.0
ADM,BUY,2022-01-28,2022-01-31,67.1188,2022-03-16,72.9658,trailing_stop,8.71,63.7763,0.0
ABBV,BUY,2022-03-18,2022-03-21,138.2517,2022-04-13,143.2303,trailing_stop,3.6,133.2138,0.0
LLY,BUY,2022-03-18,2022-03-21,277.9103,2022-04-21,281.305,trailing_stop,1.22,265.3691,0.0
EOG,BUY,2022-01-28,2022-01-31,91.7601,2022-04-25,94.6078,trailing_stop,3.1,84.5988,0.0
BRK-B,BUY,2022-03-18,2022-03-21,344.99,2022-04-25,330.8243,sl_hit,-4.11,330.8243,0.0
MCK,BUY,2022-03-18,2022-03-21,293.4318,2022-04-29,305.1499,trailing_stop,3.99,279.6345,0.0
STLD,BUY,2022-03-18,2022-03-21,80.4442,2022-04-29,82.0213,trailing_stop,1.96,74.0087,0.0
COR,BUY,2022-03-18,2022-03-21,146.8204,2022-04-29,149.6274,trailing_stop,1.91,140.403,0.0
REGN,BUY,2022-03-18,2022-03-21,683.9468,2022-05-02,649.2677,sl_hit,-5.07,649.2677,0.0
ATI,BUY,2022-02-03,2022-02-04,22.39,2022-05-05,26.7175,trailing_stop,19.33,20.5988,0.0
CTVA,BUY,2022-03-18,2022-03-21,53.9388,2022-05-06,53.5068,timeout_30d,-0.8,50.4925,0.0
ASTS,BUY,2022-08-16,2022-08-17,14.27,2022-08-17,13.1284,sl_hit,-8.0,13.1284,0.0
BE,BUY,2022-08-16,2022-08-17,26.0,2022-08-22,23.92,sl_hit,-8.0,23.92,0.0
MOD,BUY,2022-08-16,2022-08-17,16.93,2022-08-29,15.5756,sl_hit,-8.0,15.5756,0.0
WMS,BUY,2022-08-16,2022-08-17,145.0489,2022-08-29,134.2499,sl_hit,-7.45,134.3777,0.0
AJG,BUY,2022-08-16,2022-08-17,183.4179,2022-08-31,175.6174,sl_hit,-4.25,175.6174,0.0
ATI,STRONG_BUY,2022-08-16,2022-08-17,31.75,2022-09-01,29.09,sl_hit,-8.38,29.21,0.0
SMCI,BUY,2022-08-16,2022-08-17,6.635,2022-09-07,6.1042,sl_hit,-8.0,6.1042,0.0
LNG,BUY,2022-08-16,2022-08-17,157.352,2022-09-07,148.439,sl_hit,-5.66,148.439,0.0
CAH,STRONG_BUY,2022-08-16,2022-08-17,64.8441,2022-09-23,61.1357,sl_hit,-5.72,61.1357,0.0
ORA,BUY,2022-08-16,2022-08-17,93.948,2022-09-23,88.5002,sl_hit,-5.8,88.5002,0.0
SMCI,BUY,2022-11-30,2022-12-01,9.176,2022-12-05,8.4419,sl_hit,-8.0,8.4419,0.0
FSLR,BUY,2022-11-30,2022-12-01,172.56,2022-12-06,158.7552,sl_hit,-8.0,158.7552,0.0
