Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
MOS,1,1,0,100.0,8.89,8.89,8.89,8.89,0,0,0,0,1
RDDT,1,1,0,100.0,8.88,8.88,8.88,8.88,0,1,0,1,0
ADM,1,1,0,100.0,8.71,8.71,8.71,8.71,0,1,0,0,1
UNH,2,2,0,100.0,4.3,8.61,5.82,2.79,0,1,0,0,2
STLD,4,2,2,50.0,2.09,8.35,11.64,-7.13,1,0,1,2,2
LLY,3,3,0,100.0,2.77,8.3,4.29,1.22,0,2,0,1,2
KEX,1,1,0,100.0,8.18,8.18,8.18,8.18,0,1,0,1,0
MPC,1,1,0,100.0,7.75,7.75,7.75,7.75,0,1,0,0,1
DOCU,2,1,1,50.0,3.82,7.63,15.63,-8.0,1,1,0,2,0
IT,1,1,0,100.0,7.18,7.18,7.18,7.18,0,1,0,1,0
AGNC,1,1,0,100.0,7.04,7.04,7.04,7.04,0,0,0,0,1
ALK,1,1,0,100.0,7.0,7.0,7.0,7.0,0,0,0,1,0
WAT,4,2,2,50.0,1.75,6.99,13.33,-5.22,1,1,0,0,4
SLB,3,3,0,100.0,2.26,6.79,3.27,0.53,0,2,0,0,3
AA,2,2,0,100.0,3.11,6.23,5.6,0.63,0,1,0,0,2
TTEK,3,0,3,33.3,2.05,6.16,12.72,-4.85,1,0,1,1,2
BMRN,1,1,0,100.0,6.07,6.07,6.07,6.07,0,1,0,0,1
FDX,1,1,0,100.0,6.06,6.06,6.06,6.06,0,0,1,1,0
WM,1,1,0,100.0,5.82,5.82,5.82,5.82,0,0,0,0,1
SOFI,1,1,0,100.0,5.49,5.49,5.49,5.49,0,0,0,1,0
CDNS,1,1,0,100.0,5.44,5.44,5.44,5.44,0,0,0,0,1
CPNG,1,1,0,100.0,5.44,5.44,5.44,5.44,0,0,0,0,1
SCHW,3,3,0,100.0,1.76,5.27,2.44,0.75,0,1,0,0,3
DTM,1,1,0,100.0,5.27,5.27,5.27,5.27,0,0,0,0,1
WELL,2,2,0,100.0,2.54,5.08,4.72,0.36,0,1,0,0,2
ALL,1,1,0,100.0,4.96,4.96,4.96,4.96,0,0,0,0,1
CBOE,1,1,0,100.0,4.67,4.67,4.67,4.67,0,0,0,0,1
CPRT,1,1,0,100.0,4.63,4.63,4.63,4.63,0,0,0,0,1
FOX,1,1,0,100.0,4.61,4.61,4.61,4.61,0,0,0,0,1
AEIS,1,1,0,100.0,4.6,4.6,4.6,4.6,0,0,0,0,1
SNX,2,1,1,50.0,2.26,4.53,9.01,-4.48,1,0,0,1,1
NTAP,1,1,0,100.0,4.25,4.25,4.25,4.25,0,1,0,1,0
SRE,1,1,0,100.0,4.23,4.23,4.23,4.23,0,1,0,0,1
TSCO,5,1,4,20.0,0.83,4.13,18.55,-6.23,3,0,1,0,5
AU,2,1,1,50.0,2.02,4.05,11.12,-7.07,1,1,0,0,2
NTNX,2,1,1,50.0,1.9,3.8,10.97,-7.17,1,1,0,0,2
ABBV,1,1,0,100.0,3.6,3.6,3.6,3.6,0,1,0,0,1
GILD,2,1,1,50.0,1.72,3.44,5.9,-2.46,0,0,1,1,1
TRGP,5,2,3,40.0,0.68,3.41,9.35,-7.39,2,0,0,2,3
EXC,1,1,0,100.0,3.22,3.22,3.22,3.22,0,1,0,0,1
PHM,2,2,0,100.0,1.58,3.17,1.66,1.51,0,1,0,1,1
TTD,2,1,1,50.0,1.54,3.07,11.07,-8.0,1,1,0,1,1
XPO,4,1,3,25.0,0.73,2.93,17.8,-6.93,2,0,1,2,2
META,3,1,2,66.7,0.96,2.88,6.15,-6.1,1,0,0,2,1
WTRG,1,1,0,100.0,2.87,2.87,2.87,2.87,0,0,0,0,1
WMB,2,2,0,100.0,1.42,2.83,2.09,0.74,0,0,0,0,2
CTVA,1,1,0,100.0,2.67,2.67,2.67,2.67,0,0,0,0,1
AAON,1,1,0,100.0,2.58,2.58,2.58,2.58,0,0,0,0,1
JBL,4,3,1,75.0,0.63,2.51,2.3,-3.14,0,2,1,2,2
VRSN,1,1,0,100.0,2.28,2.28,2.28,2.28,0,1,0,0,1
MOD,4,2,2,50.0,0.57,2.27,9.72,-8.0,2,0,1,3,1
H,1,1,0,100.0,1.91,1.91,1.91,1.91,0,0,0,0,1
UHS,1,1,0,100.0,1.91,1.91,1.91,1.91,0,1,0,1,0
NU,1,1,0,100.0,1.72,1.72,1.72,1.72,0,0,0,0,1
BG,4,2,2,50.0,0.38,1.52,10.83,-6.7,2,0,0,2,2
TRMB,1,1,0,100.0,1.42,1.42,1.42,1.42,0,1,0,0,1
TXT,1,1,0,100.0,1.36,1.36,1.36,1.36,0,1,0,0,1
CELH,2,1,1,50.0,0.67,1.33,9.33,-8.0,1,0,0,1,1
WING,4,2,2,50.0,0.29,1.16,10.18,-8.0,2,0,0,0,4
YUM,1,1,0,100.0,1.07,1.07,1.07,1.07,0,0,0,0,1
MCK,2,1,1,50.0,0.53,1.06,3.99,-2.93,1,1,0,0,2
WBS,1,1,0,100.0,0.99,0.99,0.99,0.99,0,1,0,0,1
STT,1,1,0,100.0,0.95,0.95,0.95,0.95,0,1,0,0,1
CRWD,2,1,1,50.0,0.46,0.92,8.92,-8.0,1,1,0,1,1
XOM,3,1,2,66.7,0.3,0.91,5.59,-5.83,1,0,1,2,1
JNJ,1,1,0,100.0,0.83,0.83,0.83,0.83,0,1,0,0,1
JPM,1,1,0,100.0,0.81,0.81,0.81,0.81,0,0,0,0,1
STE,2,1,1,50.0,0.35,0.7,3.89,-3.19,1,0,0,0,2
AL,1,1,0,100.0,0.69,0.69,0.69,0.69,0,0,0,0,1
UGI,1,1,0,100.0,0.67,0.67,0.67,0.67,0,0,0,0,1
