ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
ZS,BUY,2020-01-17,2020-01-21,59.29,2020-01-24,59.29,trailing_stop,0.0,55.7326,0.0
W,BUY,2020-08-12,2020-08-13,307.91,2020-08-28,319.8178,trailing_stop,3.87,289.4354,0.0
WDAY,BUY,2020-09-02,2020-09-03,230.26,2020-09-04,216.4444,sl_hit,-6.0,216.4444,0.0
ZM,BUY,2020-09-09,2020-09-10,400.0,2020-09-11,376.0,sl_hit,-6.0,376.0,0.0
PINS,BUY,2020-10-28,2020-10-29,64.0,2020-10-29,64.8842,trailing_stop,1.38,60.16,0.0
RGEN,BUY,2020-11-16,2020-11-17,195.73,2020-11-18,183.9862,sl_hit,-6.0,183.9862,0.0
APTV,STRONG_BUY,2021-01-13,2021-01-14,146.67,2021-01-15,137.8698,sl_hit,-6.0,137.8698,0.0
WSM,STRONG_BUY,2021-01-28,2021-01-29,60.5766,2021-02-01,56.942,sl_hit,-6.0,56.942,0.0
WAT,BUY,2021-02-03,2021-02-04,281.05,2021-02-18,281.05,trailing_stop,0.0,264.9957,0.0
UEC,BUY,2021-02-18,2021-02-19,2.21,2021-02-23,2.0774,sl_hit,-6.0,2.0774,0.0
QXO,STRONG_BUY,2021-02-23,2021-02-24,39.3489,2021-02-25,60.9317,trailing_stop,54.85,36.988,0.0
RF,STRONG_BUY,2021-02-25,2021-02-26,17.2695,2021-03-16,17.2695,trailing_stop,0.0,16.2333,0.0
PRIM,BUY,2021-02-26,2021-03-01,33.5189,2021-03-17,38.2445,trailing_stop,14.1,31.5078,0.0
OVV,BUY,2021-03-16,2021-03-17,23.7827,2021-03-18,22.3557,sl_hit,-6.0,22.3557,0.0
URI,BUY,2021-02-25,2021-02-26,288.4872,2021-03-22,301.5616,trailing_stop,4.53,271.1779,0.0
UMBF,BUY,2021-02-26,2021-03-01,79.5294,2021-03-22,87.4941,trailing_stop,10.01,74.8451,0.0
NWSA,BUY,2021-02-19,2021-02-22,21.4959,2021-03-23,25.2416,trailing_stop,17.42,20.2062,0.0
WBD,STRONG_BUY,2021-03-09,2021-03-10,63.86,2021-03-23,73.1621,trailing_stop,14.57,60.0284,0.0
UEC,BUY,2021-03-19,2021-03-22,2.8,2021-03-23,2.632,sl_hit,-6.0,2.632,0.0
WSM,STRONG_BUY,2021-03-25,2021-03-26,79.0898,2021-04-14,79.4647,trailing_stop,0.47,74.3445,0.0
ORCL,BUY,2021-04-21,2021-04-22,71.3826,2021-05-11,72.8644,timeout_15d,2.08,68.5953,0.0
PR,BUY,2021-06-18,2021-06-21,5.7921,2021-06-28,6.0351,trailing_stop,4.2,5.4445,0.0
PFE,BUY,2021-08-11,2021-08-12,36.9135,2021-08-19,39.1101,trailing_stop,5.95,35.1976,0.0
RGEN,BUY,2021-09-27,2021-09-28,299.55,2021-10-01,281.577,sl_hit,-6.0,281.577,0.0
ZWS,BUY,2021-10-15,2021-10-18,33.8875,2021-10-21,34.3773,pre_earnings,1.45,31.8543,0.0
ZS,BUY,2021-11-10,2021-11-11,343.17,2021-11-22,357.3045,trailing_stop,4.12,325.0053,0.0
ONTO,BUY,2021-11-11,2021-11-12,88.74,2021-12-01,96.197,trailing_stop,8.4,83.4156,0.0
RKT,BUY,2023-02-03,2023-02-06,9.5483,2023-02-06,8.9754,sl_hit,-6.0,8.9754,0.0
WING,BUY,2023-05-04,2023-05-05,206.8608,2023-05-24,204.0028,timeout_15d,-1.38,194.4491,0.0
RMBS,BUY,2023-06-02,2023-06-05,63.1,2023-06-14,63.1,trailing_stop,0.0,59.314,0.0
RKLB,BUY,2023-06-16,2023-06-20,5.65,2023-06-23,5.65,trailing_stop,0.0,5.311,0.0
XP,BUY,2023-06-23,2023-06-26,20.6524,2023-06-27,19.4132,sl_hit,-6.0,19.4132,0.0
W,BUY,2023-06-13,2023-06-14,51.64,2023-07-06,63.1505,trailing_stop,22.29,48.5416,0.0
VRT,BUY,2023-08-10,2023-08-11,34.0417,2023-09-12,37.5201,trailing_stop,10.22,31.9992,0.0
UEC,BUY,2023-09-19,2023-09-20,5.05,2023-09-25,5.4,pre_earnings,6.93,4.747,0.0
ONTO,BUY,2023-12-15,2023-12-18,150.92,2024-01-02,141.8648,sl_hit,-6.0,141.8648,0.0
WMS,BUY,2023-12-18,2023-12-19,135.9698,2024-01-02,137.0951,trailing_stop,0.83,127.8659,0.0
WBS,BUY,2023-12-15,2023-12-18,48.0071,2024-01-08,48.0258,timeout_15d,0.04,45.1267,0.0
WDC,STRONG_BUY,2024-01-26,2024-01-29,44.7264,2024-02-13,42.0437,sl_hit,-6.0,42.0437,0.0
URI,BUY,2024-01-31,2024-02-01,623.1971,2024-02-13,627.1916,trailing_stop,0.64,585.8053,0.0
VRT,STRONG_BUY,2024-02-06,2024-02-07,59.823,2024-02-16,62.8052,pre_earnings,4.99,56.2336,0.0
ONTO,BUY,2024-02-12,2024-02-13,166.59,2024-02-20,174.9632,trailing_stop,5.03,156.5946,0.0
WING,STRONG_BUY,2024-02-21,2024-02-22,316.331,2024-03-08,355.7498,trailing_stop,12.46,299.387,0.0
VST,STRONG_BUY,2024-03-11,2024-03-12,57.61,2024-03-26,68.566,trailing_stop,19.02,54.1534,0.0
QCOM,BUY,2024-05-31,2024-06-03,202.8568,2024-06-20,212.0902,trailing_stop,4.55,191.0601,0.0
RNA,BUY,2024-06-20,2024-06-21,38.33,2024-07-03,38.33,trailing_stop,0.0,36.0302,0.0
WAL,BUY,2024-07-18,2024-07-19,70.2831,2024-08-01,75.8554,trailing_stop,7.93,66.0661,0.0
UMBF,BUY,2024-08-01,2024-08-02,92.9996,2024-08-05,87.4197,sl_hit,-6.0,87.4197,0.0
PNW,BUY,2024-08-05,2024-08-06,80.4891,2024-08-26,81.9859,timeout_15d,1.86,77.3221,0.0
PM,BUY,2024-08-05,2024-08-06,107.2765,2024-09-17,116.5222,trailing_stop,8.62,102.6733,0.0
VRT,BUY,2024-11-25,2024-11-26,133.33,2024-11-27,125.3302,sl_hit,-6.0,125.3302,0.0
PLTR,BUY,2024-11-18,2024-11-19,59.51,2024-12-09,75.3136,trailing_stop,26.56,55.9394,0.0
VFC,BUY,2025-01-29,2025-01-30,25.4792,2025-02-03,23.9504,sl_hit,-6.0,23.9504,0.0
PLTR,BUY,2025-02-19,2025-02-20,102.91,2025-02-20,96.7354,sl_hit,-6.0,96.7354,0.0
